seed,n_spanned,v_full_std,phi_spanned,phi_weak,max_angle_factor_space_deg,max_angle_spanned_plane_deg
0,1,-2.0311372964488357e-06,-1.4163096902756632e-07,-1.8895063274212693e-06,3.4150945850063763e-06,0.0
1,1,-1.8346493326205872e-06,-2.471913568814711e-07,-1.587457975739116e-06,84.72915692191333,17.49241787991631
2,1,-1.303296740658654e-06,1.229353255989508e-07,-1.4262320662576048e-06,88.80833347088735,19.7909954010777
