dim,phi_no_controls,phi_vol_mom_controls
cv1,-1.412814953104021e-07,-1.5467728190280667e-07
cv2,-7.891873899757505e-07,-6.96560492140597e-07
cv3,-3.8969557479936727e-07,-3.443664720246928e-07
cv4,-4.6041472785621973e-07,-4.592822048521606e-07
cv5,-2.505581085070961e-07,-2.1036215322171854e-07
