horizon,effective_n,n_nonoverlap,r2_oos_vs_ar1,r2_oos_vs_zero,cw_p_overlap,cw_p_nonoverlap,cw_placebo_p,loco_max_p,v_full_std,v_full_boot_lo,v_full_boot_hi,phi_spanned,phi_weak,spanned_placebo_hi,spanned_outside_band,retained_share_spanned,retained_share_all,sub_cw_p_all,gate_passed
1,1148,1148,-0.005062258949107168,-0.00449268836239658,0.754579045665088,0.7296292354832605,0.7524752475247525,0.8002243561010307,-2.0311372964488357e-06,-4.092305100109473e-06,-4.2644306474160423e-07,-1.4163096902756632e-07,-1.8895063274212693e-06,1.5323710806851462e-07,False,0.6431793492940584,0.28387651769446187,0.016084733813097052,False
5,229,230,-0.0047605822164384914,-0.00914931363658722,0.7764052198214757,0.19079867248555638,0.6633663366336634,0.8412888494651667,-9.1871906199839e-06,-1.4786713700780548e-05,-4.272759389085251e-06,-2.1566572220893705e-06,-7.03053339789453e-06,4.0692922126610645e-07,False,0.9611795088349986,0.9638550311291804,0.32410700146551064,False
21,54,55,-0.002622607016673939,-0.017613332576509766,0.0819276140812909,0.45590574657402116,0.10891089108910891,0.1198569519219519,-1.875924143791407e-05,-5.1002547851869526e-05,1.4316084025135216e-05,-1.031974480998274e-05,-8.43949662793133e-06,3.734519208827271e-06,False,1.3201512642155386,1.289020465343039,0.017268688587402936,False
63,18,19,-0.014813867560133476,-0.06278062118614747,0.5221003013962369,0.4208119056629299,0.4158415841584158,0.6210719174073299,-0.0003198730556399007,-0.0008602039816075813,4.2088457393788264e-05,-1.3808439375961531e-05,-0.0003060646162639392,1.8578832059331673e-05,False,0.9814830689038933,-1.2188896309324977,0.011965358715790297,False
