dim,rho_train,rho_cv_train,perm_p_train,rho_oos_frozen,loading_cosine_oos,spanned,top_loadings_train
V1,0.7071884705147297,0.6361495722284435,0.004975124378109453,0.5814858998357889,0.9354569649530289,True,xle(+0.78); fx_usdcad(-0.69); mxwo(+0.67); be_5y(+0.67)
V2,0.35507828240895006,0.05527189591456942,0.04975124378109453,0.04623653828942171,0.1610805512906196,False,epu(+0.58); ig_oas(+0.43); tips_10y(+0.24); mxef(-0.22)
V3,0.32456751577587656,0.1571226109434327,0.004975124378109453,0.1858534614813194,0.851676838868712,False,ust_10y(+0.67); ust_5y(+0.65); ust_2y(+0.59); tips_10y(+0.55)
V4,0.19541902268544858,0.013108650111265111,0.3582089552238806,0.009809200408408532,-0.22239956605973418,False,fx_usdbrl(+0.43); gvz(+0.26); be_10y(+0.24); fx_usdcnh(-0.23)
V5,0.18573948479896235,0.07942934304269379,0.024875621890547265,0.03987107156090034,0.2889964748487859,False,fx_usdcnh(+0.32); csi300(-0.28); ovx(-0.28); shcomp(-0.27)
