seed,phi_raw_f1,phi_raw_f2,phi_raw_f3,phi_raw_f4,phi_raw_f5
0,-3.1229371804682275e-07,-5.150057366632936e-07,-2.403246860787542e-07,-4.207845510712095e-07,-5.427286045887557e-07
1,-3.863242041395128e-07,-3.286894108790364e-07,-4.6184103400010255e-07,-4.1715063755511806e-07,-2.4064404605169625e-07
2,-4.0795393085348364e-07,-2.3611549804856977e-07,-1.3373680108234745e-08,-2.7031765891602736e-07,-3.755359727341816e-07
