group,phi,placebo_lo,placebo_hi,outside_band
spanned,-1.4163096902756632e-07,-3.314502579936973e-07,1.5323710806851462e-07,False
weak,-1.8895063274212693e-06,-1.0364147019489103e-06,-1.0582217451670111e-07,True
