horizon,n_origins,effective_n,n_nonoverlap,hac_lags,r2_pool_std_vs_ar1,r2_pool_std_vs_mean,r2_pool_std_vs_zero,r2_pool_raw_vs_ar1,r2_ar1_vs_zero,cw_pool_stat,cw_pool_p,cw_nonoverlap_stat,cw_nonoverlap_p,n_cw_fdr10,utility_gain_ann,sharpe_diff_ann,v_full_std,v_full_boot_lo,v_full_boot_hi,cw_placebo_p,cw_loco_max_p,gate_passed
1,1148,1148,1148,5,-0.005062258949107168,-0.0043054033872886865,-0.00449268836239658,-0.0050116273438776116,0.000566701795475022,-0.6889703781964345,0.754579045665088,-0.6116920405080152,0.7296292354832605,0,-0.11560906352536107,-0.539562486911855,-2.0311372964488357e-06,-4.092305100109473e-06,-4.2644306474160423e-07,0.7524752475247525,0.8002243561010307,False
5,1148,229,230,10,-0.0047605822164384914,-0.008423024234952337,-0.00914931363658722,-0.00441208129924564,-0.004367937494589302,-0.7601087875714276,0.7764052198214757,0.8749569226360541,0.19079867248555638,0,-0.0432954710955566,-0.006595803202026129,-9.1871906199839e-06,-1.4786713700780548e-05,-4.272759389085251e-06,0.6633663366336634,0.8412888494651667,False
21,1148,54,55,42,-0.002622607016673939,-0.016800681553018615,-0.017613332576509766,-0.00476595473003627,-0.014951513615318435,1.3922218499818149,0.0819276140812909,0.11075391221323265,0.45590574657402116,0,-0.008541330100552635,0.2599473317377351,-1.875924143791407e-05,-5.1002547851869526e-05,1.4316084025135216e-05,0.10891089108910891,0.1198569519219519,False
63,1148,18,19,126,-0.014813867560133476,-0.06017315075154017,-0.06278062118614747,-0.00893298961839517,-0.047266553167368386,-0.05542560517461943,0.5221003013962369,0.19981686452139882,0.4208119056629299,0,-0.005296995025286272,0.16842885914645503,-0.0003198730556399007,-0.0008602039816075813,4.2088457393788264e-05,0.4158415841584158,0.6210719174073299,False
