horizon,commodity,stale,zero_return_frac,mse_full,mse_ar1,mse_mean,mse_zero,r2_oos_vs_ar1,r2_oos_vs_mean,r2_oos_vs_zero,cw_stat,cw_p,cw_fdr10_reject
1,Coffee,False,0.009059233449477353,0.0006073886482519336,0.000604432092372669,0.0006041173709342531,0.0006040523431690685,-0.004891460788686519,-0.005414969797378211,-0.005523205266221964,-0.6641393528974121,0.7466994374502293,False
1,SoybeanOil,False,0.012195121951219513,0.00042666253276128817,0.0004245599521184345,0.0004258048858792812,0.00042562273266206655,-0.004952376295414451,-0.002014178114081444,-0.002443008841934269,-0.6846261855355266,0.7532100805772075,False
1,Corn,False,0.0156794425087108,0.00034280108955705605,0.0003408175529314685,0.0003402869028450282,0.00033999178879921593,-0.0058199368211131475,-0.0073884322053172635,-0.008262848840444148,-0.393561584106739,0.6530476258811848,False
1,Cotton,False,0.0031358885017421603,0.00036486918421218926,0.0003633969156574786,0.00036568580378797176,0.0003655154403321589,-0.004051406303344551,0.0022331180683622387,0.0017680679081090167,-0.6858386660210793,0.7535925746755303,False
1,HRWWheat,False,0.01602787456445993,0.0004644764326643628,0.000459459953108192,0.00045908677261511597,0.00045887615157955857,-0.010918208479835823,-0.0117399593513563,-0.012204341118026596,-1.7915874803976115,0.9634004649708174,False
1,LeanHogs,False,0.01289198606271777,0.0006155284358375237,0.000615913225152899,0.0006161738139773702,0.0006158932038125524,0.0006247459863842897,0.0010473962463296571,0.0005922584837284584,0.9412908306965418,0.17327792018119226,False
1,LiveCattle,False,0.015331010452961672,0.00010248445325356858,0.00010193630490492719,0.00010174175973535552,0.00010183304797854654,-0.005377361374366396,-0.00729979037265438,-0.006396796403062455,-1.2734132618267506,0.8985642830775555,False
1,Soybeans,False,0.010801393728222997,0.0002177336601418794,0.0002165850523431793,0.00021624482100257797,0.00021613025895794442,-0.005303264404785013,-0.006884970157429393,-0.007418679789057192,0.26395578024264293,0.3959069964359354,False
1,Sugar,False,0.017421602787456445,0.0003129744086736573,0.00031209965421728184,0.00031211235201799664,0.0003119892366988297,-0.002802804952056981,-0.0027620074953360607,-0.003157711417393072,0.34660871789744174,0.364442647777905,False
1,Brent,False,0.003484320557491289,0.0006707800735507284,0.0006592998204120692,0.0006591871906602579,0.000658907849044768,-0.017412795792184355,-0.017586632529765556,-0.018018034726967835,-1.3392433125470107,0.9097542617951813,False
1,NaturalGas,False,0.0027874564459930314,0.0031088518734342825,0.003112088627215307,0.003137188981173756,0.003135800650756741,0.0010400583558960452,0.00903264288811545,0.008593906413009722,1.022946244632877,0.15316663136844522,False
1,WTI,False,0.004181184668989547,0.0007590663045894025,0.000744803421055337,0.0007446310893397915,0.0007443724629880919,-0.019149863079114038,-0.019385727316878043,-0.019739904862044355,-0.6280041351226713,0.734999384442197,False
1,Gasoline,False,0.0003484320557491289,0.000699272958645938,0.0006936905155292153,0.0006933519609811342,0.000693106913030072,-0.008047454868925108,-0.00853967104445097,-0.008896240248001286,-0.6508569630602508,0.7424305874707606,False
1,HeatingOil,False,0.0006968641114982578,0.0008559454829270612,0.0008469685017397548,0.0008452132326428626,0.0008448920112219429,-0.010598955178223068,-0.012697683696503814,-0.013082703538801255,-0.6854488288047337,0.7534696296821246,False
1,Gold,False,0.0031358885017421603,0.00014346022972915994,0.000142512773904819,0.0001426679360805033,0.00014301356148421385,-0.006648216846678823,-0.005553410741216291,-0.003123257964563031,-1.7102072508926398,0.9563862223186219,False
1,Silver,False,0.0024390243902439024,0.0006577170211837417,0.0006555415022214613,0.0006566150075911622,0.0006567911922344801,-0.0033186593906078254,-0.0016783253197671932,-0.0014096244898045285,-0.5906821585368555,0.7226332977641561,False
1,Copper,False,0.007317073170731708,0.00034315874365272326,0.0003423648422240554,0.00034283421101834644,0.0003427860753535219,-0.002318875453187763,-0.0009466168309539835,-0.0010871745557838874,0.0031167390073689022,0.49875660304605696,False
1,Aluminium,False,0.0031358885017421603,0.0002542311363572612,0.00025257543504686084,0.00025197305051295515,0.0002519778346153881,-0.006555274506775177,-0.00896161648918059,-0.008942460138656516,-0.5823583461631031,0.7198373337951296,False
1,Nickel,False,0.0006968641114982578,0.0007589342421865977,0.0007562828107213378,0.0007532887089008768,0.0007529284197493277,-0.003505872971952151,-0.007494514678121567,-0.007976618068513686,0.012674078214268195,0.4949439096974436,False
1,Zinc,False,0.003484320557491289,0.0003107423182319234,0.00031103274848309445,0.0003100337819909264,0.00030991961088198516,0.0009337610029408472,-0.0022853517331145046,-0.0026545830629980394,1.0601369145019406,0.14454115803240974,False
1,Platinum,False,0.0031358885017421603,0.0005414850548115421,0.0005395775922427375,0.0005404271659423235,0.0005402172870383555,-0.003535103377581672,-0.0019575049810347522,-0.002346773795664614,-0.01286063883001281,0.5051305111541776,False
5,Coffee,False,0.009059233449477353,0.0031686940684125878,0.003163116284254559,0.0031555747941466304,0.003154441024941047,-0.0017633825812204407,-0.004157491145604597,-0.004518405435019135,0.5217988033834332,0.300905211462246,False
5,SoybeanOil,False,0.012195121951219513,0.002222688088888683,0.0022164413194716726,0.0022086155755470876,0.0022038012266677775,-0.0028183779837218648,-0.006371644525829057,-0.008570129643435731,-0.09685517699030145,0.5385792975182566,False
5,Corn,False,0.0156794425087108,0.0016472012811578993,0.0016345437336189375,0.0016302117088497054,0.0016233608836963137,-0.0077437802847510895,-0.010421696897381372,-0.01468582722487577,-0.9522802142338779,0.8295225552692678,False
5,Cotton,False,0.0031358885017421603,0.00201784844666822,0.0020139198622774776,0.002007821709052837,0.0020030319151658964,-0.001950715350857779,-0.004993838631276004,-0.007397052133887971,0.15370662761182177,0.4389205294049586,False
5,HRWWheat,False,0.01602787456445993,0.002170203323494099,0.0021526790536869765,0.002147797808313658,0.002143120880354562,-0.008140679297783837,-0.01043185494170551,-0.012636918144839582,-0.16459585270111016,0.5653689521204803,False
5,LeanHogs,False,0.01289198606271777,0.003242446780036737,0.003204657407348717,0.003202335269532509,0.0031951280431729507,-0.01179201639506422,-0.012525706126355729,-0.014809652766464954,0.10467232896739154,0.4583179098018131,False
5,LiveCattle,False,0.015331010452961672,0.0004276099549809127,0.0004234941301805653,0.00042309343378996725,0.000425469267863658,-0.00971872927398687,-0.010674997128855335,-0.005031355444315544,-0.5924330711792978,0.7232196868972581,False
