dim,phi_std_weighted,phi_raw_pooled,phi_excl_Zinc
cv1,-1.412814953104021e-07,-2.004289632474474e-07,-2.3313567663606062e-07
cv2,-7.891873899757505e-07,-1.505291866394536e-06,-7.720905870576209e-07
cv3,-3.8969557479936727e-07,-4.710903906395028e-07,-3.7457381207811063e-07
cv4,-4.6041472785621973e-07,-6.879577240768007e-07,-4.4233214669380116e-07
cv5,-2.505581085070961e-07,-1.1737348665379934e-07,-2.2435128052835605e-07
