year,n_days,phi_cv1,phi_cv2,phi_cv3,phi_cv4,phi_cv5
2021,155,-2.5495830352799047e-08,3.866800777966074e-07,3.7023991893476685e-07,-6.754152442819148e-08,-2.0887714942060465e-07
2022,222,-9.767044325103076e-07,-3.438351081176451e-06,-8.394059553037903e-07,-9.92740341937648e-07,-1.306052678553578e-06
2023,226,-7.962692936525645e-08,-5.52954678784241e-08,-1.2035008877518072e-07,-2.6614883493387896e-07,-2.432603155971929e-07
2024,227,1.1689025047643037e-07,-2.045742508118591e-07,-1.370576604185193e-07,-4.7682719461676704e-07,-1.8447108845711662e-07
2025,227,2.405947097136251e-07,-3.686394406935574e-07,-6.020008961884557e-07,-1.6594457217959621e-07,3.782751915128096e-07
2026,91,-5.015734968081943e-08,-6.592561760134918e-07,-1.356529371584219e-06,-1.0070328310395967e-06,5.017829029046811e-07
-1,1085,-2.3492483252413612e-07,-9.137301325868409e-07,-4.489946925834013e-07,-4.556844399705546e-07,-3.006587779637006e-07
