draw,max_principal_angle_deg,boundary,boundary_matches
0,6.05576763689621,1,True
1,6.6093082699384045,1,True
2,9.617211201923327,1,True
3,67.7553618933504,1,True
4,8.8201376465879,1,True
5,44.12278266921651,1,True
6,35.30713551690548,1,True
7,51.19433936315019,1,True
8,6.703319179011813,1,True
9,21.418678339222897,1,True
10,7.335890358947874,1,True
11,19.940627053945597,1,True
12,2.2605408782131415,1,True
13,73.63405413823614,1,True
14,4.139223300950384,1,True
15,8.854345443148311,1,True
16,5.399705311564098,1,True
17,11.59234053196408,1,True
18,26.80222085943928,1,True
19,8.055991557345262,1,True
20,11.147924135762109,1,True
21,11.486130406173707,1,True
22,48.629837754821075,1,True
23,7.793561507351737,1,True
24,38.39015187828327,1,True
25,61.75075695778421,1,True
26,62.8497363890225,1,True
27,7.299265418910714,1,True
28,29.510287605064963,1,True
29,2.5909821222712375,1,True
30,5.331405848999012,1,True
31,8.538155126594656,1,True
32,3.1574162044025917,1,True
33,21.47168757064097,1,True
34,6.902265085737434,1,True
35,6.3243739173147935,1,True
36,4.692707828959741,1,True
37,8.624166013499135,1,True
38,9.83516450936677,1,True
39,5.81179327846644,1,True
40,13.049235149600332,1,True
41,31.113208419522408,1,True
42,12.382161641767937,1,True
43,8.451290753999317,1,True
44,2.178731611393774,1,True
45,83.3314608340579,1,True
46,9.326300843777172,1,True
47,16.701724225794777,1,True
48,38.168543873355986,1,True
49,4.590101519268233,1,True
50,10.273658912175263,1,True
51,10.476107985434398,1,True
52,5.787913552190954,1,True
53,58.43586787243392,1,True
54,8.620292757909358,1,True
55,26.663247912042234,1,True
56,6.53813756805028,1,True
57,6.024305780528099,1,True
58,89.32267283882719,1,True
59,9.233850032743225,1,True
60,52.80430670705319,1,True
61,8.08052237930925,1,True
62,45.48330567199132,1,True
63,8.461959307627467,1,True
64,12.282596588893332,1,True
65,5.666258960759982,1,True
66,4.170098536738907,1,True
67,9.490506006613913,1,True
68,8.62507530897245,1,True
69,7.087116604066124,1,True
70,4.330580783342081,1,True
71,10.30748549426608,1,True
72,4.1377330420960075,1,True
73,4.943220208745669,1,True
74,9.101287350760153,1,True
75,10.477846776068487,1,True
76,11.403383352359537,1,True
77,78.96505699774994,1,True
78,15.88350936366715,1,True
79,25.75993684076992,1,True
80,9.108523673757217,1,True
81,79.21286956564428,1,True
82,9.191729044607838,1,True
83,7.34527545219272,1,True
84,4.549675095260445,1,True
85,10.546030791902776,1,True
86,22.939421244231127,1,True
87,15.855007263206957,1,True
88,4.96455853514056,1,True
89,9.879397780482511,1,True
90,19.356361187875972,1,True
91,23.50479067802834,1,True
92,19.246996208076315,1,True
93,18.17313242529501,1,True
94,16.244826989517065,1,True
95,13.945893732313445,1,True
96,7.992370894210395,1,True
97,34.19515962654818,1,True
98,19.537080949951683,1,True
99,40.62388917523282,1,True
100,22.57195736971055,1,True
101,54.41171998981772,1,True
102,3.9216187030369203,1,True
103,5.7906756817301535,1,True
104,7.155368385329298,1,True
105,33.01534129979646,1,True
106,10.947958001192587,1,True
107,7.113517684306243,1,True
108,6.849172784577021,1,True
109,7.7464110865816345,1,True
110,59.11341879757511,1,True
111,8.08898699396621,1,True
112,87.48798442238447,1,True
113,45.45697841792327,1,True
114,9.195146889300608,1,True
115,14.400588525997803,1,True
116,48.71508752796228,1,True
117,8.405084136132992,1,True
118,8.020903658720904,1,True
119,29.387260565789816,1,True
120,13.605495516807311,1,True
121,11.40225722991558,1,True
122,9.161587017282436,1,True
123,11.176815574253894,1,True
124,6.2164699613401195,1,True
125,6.83224431997987,1,True
126,6.957389277876672,1,True
127,9.5337511688822,1,True
128,8.215575498586013,1,True
129,7.313136580831982,1,True
130,3.6813343433045413,1,True
131,81.54040730463275,1,True
132,24.299353655884467,1,True
133,24.68871511459572,1,True
134,5.360158600265275,1,True
135,38.821484707972836,1,True
136,9.507872379481329,1,True
137,3.643548446282085,1,True
138,8.288267145134052,1,True
139,27.393522372633104,1,True
140,8.34629662331305,1,True
141,10.781577598368983,1,True
142,9.347657726504108,1,True
143,12.198993065379371,1,True
144,16.26353268053124,1,True
145,10.408570101516428,1,True
146,38.599934551874625,1,True
147,4.839610138162643,1,True
148,17.660128827142557,1,True
149,10.873455169030569,1,True
150,8.048891890042361,1,True
151,6.052342083208445,1,True
152,34.30220998342649,1,True
153,6.871075576958141,1,True
154,10.506462678586468,1,True
155,44.686089114836456,1,True
156,76.20020490007168,1,True
157,15.310088286364243,1,True
158,50.759261119761916,1,True
159,59.17245492618146,1,True
160,4.618889209405175,1,True
161,7.233514581493919,1,True
162,60.792985420845184,1,True
163,17.98423397732708,1,True
164,10.20135533162062,1,True
165,9.384212704957672,1,True
166,8.309272504720397,1,True
167,4.937393767423731,1,True
168,7.820380572218896,1,True
169,12.293237209787037,1,True
170,41.87990359609751,1,True
171,39.91227062274563,1,True
172,74.36911367638915,1,True
173,4.010954374863465,1,True
174,17.678473402362325,1,True
175,10.336111944132849,1,True
176,27.04893117943607,1,True
177,76.82287210925111,1,True
178,14.726010993890634,1,True
179,60.37313971804328,1,True
180,69.79034459115891,1,True
181,8.548262110883929,1,True
182,9.979930321746,1,True
183,10.835298495492928,1,True
184,2.292791335788776,1,True
185,22.091353147803535,1,True
186,2.9125970139211144,1,True
187,15.85911299596639,1,True
188,19.87038259802791,1,True
189,45.17821943379958,1,True
190,8.940238206267711,1,True
191,7.497428273748493,1,True
192,6.922370541078495,1,True
193,6.876941904423412,1,True
194,43.44934028780035,1,True
195,8.164544270652687,1,True
196,7.707990431300307,1,True
197,17.44388770975502,1,True
198,57.65311677079551,1,True
199,4.786436595612748,1,True
