horizon,phi_spanned,phi_weak,boot_lo_spanned,boot_hi_spanned,boot_lo_weak,boot_hi_weak,v_spanned,v_weak,v_full,interaction
1,-1.4163096902756632e-07,-1.8895063274212693e-06,-6.208183693762159e-07,3.163571033650557e-07,-3.8164674505158084e-06,-5.382587546817588e-07,-1.47879455876976e-07,-1.895754814270679e-06,-2.0311372964488357e-06,1.2496973698819351e-08
5,-2.1566572220893705e-06,-7.03053339789453e-06,-4.178358679813565e-06,1.4986888528464003e-07,-1.3025559460020941e-05,-1.983149717043275e-06,-2.1180474723612834e-06,-6.991923648166443e-06,-9.1871906199839e-06,-7.721949945617423e-08
21,-1.031974480998274e-05,-8.43949662793133e-06,-1.8111454344595905e-05,-3.99343496574118e-06,-3.9337342973017885e-05,2.3273966037037835e-05,-1.0704385099436116e-05,-8.824136917384706e-06,-1.875924143791407e-05,7.692805789067531e-07
63,-1.3808439375961531e-05,-0.0003060646162639392,-3.5418992979006046e-05,7.845619545020347e-06,-0.0008616871032034684,6.476241067801814e-05,-1.2928561145982703e-05,-0.00030518473803396035,-0.0003198730556399007,-1.7597564599576565e-06
