activation,n_spanned,rho_oos_min,rho_oos_mean,perm_p_min,perm_p_mean,ridge
relu,2,0.05513794590010599,0.2993358440018348,0.000999000999000999,0.000999000999000999,0.0
tanh,2,0.06887242956907648,0.30170305906151873,0.000999000999000999,0.000999000999000999,0.0
linear,2,0.09052461061363117,0.304756527770882,0.000999000999000999,0.000999000999000999,0.0
