,dim1,dim2,dim3,dim4,dim5
A_f1,-0.07073050727363141,0.8533533321522369,0.061185545334517394,0.7587781806191226,-1.0759090696432507
A_f2,-0.46843771639015525,-0.43242130220965214,0.9378228044196731,-0.5214260013091742,-0.3189634891689711
A_f3,0.16163335407743437,-0.8944595316388736,-0.1713589523564411,1.0498189991466493,0.1481547671452168
A_f4,0.7621254761011828,-0.29802015826633654,-0.6462133681433535,-0.5448049422425263,-0.510993986230795
A_f5,-0.8416845256265227,0.233733443079689,-0.9968061490397162,-0.39925060563686415,0.3319566505003717
B_fx_dxy,-40.98685288000876,-174.74353876126276,56.80263397578454,-65.69537318015269,-72.74682004762829
B_fx_bbdxy,70.0361130932015,72.36694330091079,177.9901973279127,37.22271888864847,60.63097375846926
B_fx_eurusd,-20.77919621571885,-76.05483664302102,78.52774898713392,-32.214391327589524,67.48246712890204
B_fx_usdcnh,-17.450824483490063,-61.477331690125716,-116.45404671250185,-20.753659702876874,71.8874550016607
B_fx_audusd,12.774171006345114,63.43379188044792,8.211298786630824,-10.884458775804603,1.7419524427363648
B_fx_usdbrl,-2.1615273168330855,-1.326228275870484,4.712685321448597,95.96811901673982,-17.57512741537585
B_fx_usdclp,-3.9064317958881922,-30.334859225497155,-21.383244346484457,-1.848450138777581,-20.538733896585974
B_fx_usdcad,-45.91739896733074,42.165644693749044,-17.99206880639903,21.510016504857774,8.029915105230128
B_fx_usdnok,-25.510299878770528,6.259130188948724,2.6169322700025273,-1.6129514109071674,59.03560627941729
B_fx_usdzar,0.3702436182276988,-15.966044004898523,-4.184760896495059,-24.765203231889274,7.20906065130493
B_ust_10y,3.5571329482344365,11.790961010584532,6.657729613794503,-2.172874894759254,-57.27118664905599
B_ust_5y,-2.7726116476204403,3.9526704556553116,-16.533031914953906,-2.9341883260932766,-41.336481496525415
B_ust_2y,0.08630687177306323,-0.9641873320612824,-4.625604832359766,-7.476550506707479,-8.663986733189157
B_tips_10y,-1.4260656998658086,-17.833993156526816,-4.257888346169634,-4.808190893083251,58.05104709850889
B_tips_5y,0.5677254839975072,0.9455427084891163,24.81146658753735,9.799543701413793,46.01991181722538
B_be_10y,-13.80814039140236,-4.676378210560622,4.855979437701281,-15.193304314657475,36.988534211944554
B_be_5y,9.082536286559938,-3.5857519383941647,11.772663460306726,12.367845447937553,47.80704341987153
B_inflsw_5y,11.115465597792335,-3.1550748874316303,-3.420268099539524,-7.555753011818658,9.385249839310394
B_inflsw_10y,-2.687980296953349,-3.5713664429599343,3.5990182144410845,19.852457377917553,-1.7347308212844859
B_cny_10y,2.243527778269828,-1.121178448962891,2.0092292472056075,-3.8214866022962535,2.1213189254127993
B_hy_oas,-0.8590077653441159,0.7219275270769897,-4.043262148916718,0.2507830418408512,1.2112942982464086
B_ig_oas,2.597069556724666,0.912980198704917,7.3081409368701795,-6.016008056423096,-28.33292067898852
B_vix,0.012369467901159838,-0.03281514940839243,0.05713393214057335,0.06774764590366288,-0.18511538578600578
B_move,-0.011201325760065958,0.013452880181859082,-0.025616267351110042,-0.054708176986034196,0.00633289021729734
B_ovx,-0.03997582531204411,0.02180315361974225,0.056511150986390424,-0.008503650525592198,-0.04778410982322114
B_gvz,0.0344317599981872,0.13428540592194993,-0.18810355692421402,0.11767676560781538,0.052419242940969564
B_spx,-23.193192276284687,-55.10608750172281,-28.300480926364862,14.345359658182076,38.304105726099024
B_mxwo,-5.970860913415274,86.32307852928592,45.92433582914271,15.258251354933728,-91.54551345576257
B_mxef,10.639679430498736,29.608999861997848,-29.189623719549072,7.8619579590392785,33.99933887244166
B_csi300,-9.152402975293016,-8.813982445093684,28.101843774826005,-3.348070826696983,-4.358246584174889
B_shcomp,19.72519168206946,17.47463144705624,-15.709127548904803,-1.0300703463289302,-7.786247447275927
B_hscei,-8.754765664834565,-10.182605560686092,24.482972608237613,-3.7146609045894468,-2.487321103936139
B_xle,34.86225147101153,-20.522169910638727,0.5506883940334436,9.378482323862597,5.2407885904013405
B_bdiy,0.182729871764375,-1.1166310546748595,3.0509235861469053,0.8812378493813404,10.443785136654274
B_bdti,0.47590526232193364,-0.8709059342098506,5.03780237837332,-2.0743629000526687,4.074260748251725
B_gpr,0.00027084106044400756,0.00018061692333068741,0.0005505339334376601,0.000997702878528704,0.001958096737080159
B_epu,0.00011235313054343914,0.00010032431856219237,-0.0007894458412836812,-8.586961524350003e-05,-0.003584594877726163
