model,beta,n_spanned,rho_oos_min,rho_oos_mean,perm_p_min,perm_p_mean,ridge
vanilla,,2,-0.00031980945359963707,0.29123424425028743,0.03596403596403597,0.000999000999000999,0.0
beta_vae,4.0,2,-0.03593352866529216,0.235690279860128,0.6193806193806194,0.000999000999000999,0.0
