dim,rho_insample,rho_oos,null_p95
dim1,0.5797364775962495,0.5465454334521551,0.034718415808725055
dim2,0.3758182235584893,0.3370982909467964,
dim3,0.21243843483968655,0.15630675105301514,
dim4,0.0920614295577038,0.06564140645574751,
dim5,0.05705581756638761,0.05080638514029814,
