regime,T,rho_min,rho_mean,null_min_p95,perm_p_min,low_power
R1,134,0.1684517538359237,0.32708593723353563,0.18413737854633497,0.08383233532934131,True
R2,355,0.14581245457013242,0.33922836349183083,0.09716463583197266,0.001996007984031936,False
R3,579,0.07019896411811365,0.29736399101189226,0.07936273336371455,0.09381237524950099,False
R4,285,0.10422817478790236,0.345171221915271,0.10489743928908053,0.05788423153692615,False
R5,186,0.08035657255627122,0.3916213632311028,0.129147052731015,0.5568862275449101,True
R6,308,0.06844922056675581,0.26425021977357055,0.1036814165147241,0.47305389221556887,False
R7,295,0.12666288525886743,0.3809336937838637,0.10672066264321943,0.007984031936127744,False
R8,245,0.08842785727491617,0.331919847417356,0.11470383611515736,0.28542914171656686,True
R9,304,0.07149128133221684,0.33510954362706946,0.10007205515728096,0.46107784431137727,False
