lag,rho_mean
-5,0.13188697937861393
-4,0.15385708873826712
-3,0.1536259990196971
-2,0.14577771965155545
-1,0.17498436345514473
0,0.37847018108818464
1,0.1810313014911674
2,0.13206049537221318
3,0.13992159191051476
4,0.13266831231172738
5,0.1382567698471702
