,dim1,dim2,dim3,dim4,dim5
china,-0.46001349047664236,-0.14021501172842157,-0.6712693960310944,0.05362662759627121,0.44634020982677625
fx,0.7833501858598505,0.520411104544773,-0.07643326266751999,0.08155343106552689,0.2823515003193263
rates,0.08723941020501053,0.5736560128718126,-0.5603269649878214,-0.4108208370335808,-0.27144943781668185
infl,-0.6444904844479254,0.613895489608111,0.24914234372100652,-0.12161299123282152,0.007826560379049555
credit,0.5069244401280608,-0.29488724518844667,0.29679567002367313,-0.5132659128624537,0.21545444087034266
vol,0.44918177888926186,-0.31801506114643574,0.07874178072174572,-0.3196879351660945,0.0655022500623012
equity,-0.7788305386946389,0.26637768033287895,-0.13730262026981413,0.3172898342527452,0.12635529664656675
freight,-0.00027931674715397323,0.14247915380307308,-0.16170508008154988,0.2521277659564503,-0.3872071043636812
uncert,-0.08469924474569193,0.009503104028605552,0.086119087529718,-0.14051965413716938,0.40260781748519475
