rank,median_abs_cos,q10_abs_cos,q90_abs_cos,null_med_abs_cos,null_p95,chance_abs_cos,p_value,median_rho_oos,frac_windows_rho_oos_ge_0.3,stability_class,macro_stable
V1,0.7107184810683166,0.3264854021246441,0.917727799589267,0.11299471177684492,0.11564776803263947,0.13117141378257083,0.004975124378109453,0.4154413160670633,0.632,stable,True
V2,0.3429735926344333,0.06947306720435108,0.6849464322701175,0.11849260917516405,0.12101666499685286,0.13117141378257083,0.004975124378109453,0.1821509444536405,0.272,weak,False
V3,0.25015605579883715,0.046781841801450084,0.5645941821429334,0.11487197043991175,0.1172762917538051,0.13117141378257083,0.004975124378109453,0.20067770913125507,0.232,weak,False
V4,0.20432763594764217,0.03826649516034758,0.48911721429765326,0.11538893193259894,0.11800341681421098,0.13117141378257083,0.004975124378109453,0.1500361126927302,0.208,weak,False
V5,0.20344890846798824,0.037147339366045466,0.4707040417009165,0.11373539865298138,0.11619082429444584,0.13117141378257083,0.004975124378109453,0.1638425445921151,0.224,weak,False
