window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
82,2021-04-30,2022-06-22,2022-07-21,252,21,0.0,1,0.6845946906579337,0.5241306758587774,0.44781238867100137,0.39211748273474045,0.32633023249787835,0.5798216578539772,-0.038391304446681096,-0.014134279033074603,0.0987493779354725,0.26908730326344893,inflsw_5y(+0.57); xle(+0.54); be_5y(+0.54),gvz(+0.62); ig_oas(+0.44); fx_audusd(-0.42),ust_5y(+0.50); ust_2y(+0.49); ust_10y(+0.44),fx_dxy(+0.37); fx_eurusd(-0.34); fx_usdzar(+0.32),shcomp(+0.34); csi300(+0.26); fx_usdzar(+0.25)
83,2021-06-04,2022-07-22,2022-08-19,252,21,0.0,1,0.7384924081881894,0.5082412860740149,0.4681373175423249,0.431490880721944,0.35357408916011374,0.5640579609936036,0.096667646092772,-0.17014953180269746,0.2246159856548925,-0.2524235311808212,xle(+0.65); be_5y(+0.61); inflsw_5y(+0.60),gvz(+0.58); gpr(+0.46); fx_usdcnh(+0.31),ust_2y(+0.44); ust_5y(+0.43); ust_10y(+0.40),fx_audusd(+0.56); mxef(+0.44); hscei(+0.41),ust_5y(+0.44); ust_10y(+0.42); ust_2y(+0.39)
84,2021-07-07,2022-08-22,2022-09-22,252,21,0.0,1,0.7508278236084012,0.5052684301979247,0.4882732289986965,0.43870819006826817,0.3703888857459602,0.49885765377073804,-0.23604793567984064,0.22291818681828476,0.17204069432240832,0.2482448839717697,xle(+0.65); be_5y(+0.63); inflsw_5y(+0.62),mxef(+0.56); shcomp(+0.45); csi300(+0.44),gpr(+0.46); cny_10y(+0.28); gvz(+0.28),tips_10y(+0.39); tips_5y(+0.35); ust_10y(+0.32),ust_5y(+0.48); ust_10y(+0.48); ust_2y(+0.39)
85,2021-08-05,2022-09-23,2022-10-31,252,21,0.0,1,0.647236406112123,0.5292868725345115,0.44579023380840394,0.38968294081197247,0.3523655378192962,0.6419622866870256,0.18760800162267088,0.0856191337858745,-0.673875552712792,0.35864037342882166,inflsw_5y(+0.58); be_5y(+0.53); xle(+0.49),gvz(+0.57); mxef(-0.41); csi300(-0.38),mxef(+0.42); hscei(+0.38); hy_oas(-0.37),fx_usdzar(+0.25); xle(+0.25); fx_usdclp(-0.23),bdiy(+0.39); fx_usdcnh(-0.30); fx_audusd(+0.27)
86,2021-09-07,2022-11-01,2022-11-30,252,21,0.0,1,0.7480711252330698,0.5179792090845446,0.5124764246434894,0.4402143731792266,0.35786084814312286,0.6280624194608823,0.18880928952425388,0.2955316666222744,-0.21994949131112373,-0.024400884790010704,xle(+0.69); be_5y(+0.61); inflsw_5y(+0.59),gpr(+0.52); epu(+0.36); fx_audusd(+0.31),mxef(+0.51); tips_5y(+0.44); csi300(+0.42),fx_usdcnh(+0.44); fx_dxy(+0.42); fx_eurusd(-0.39),ust_10y(+0.33); ust_5y(+0.32); fx_usdclp(+0.27)
87,2021-10-19,2022-12-01,2023-01-03,252,21,0.0,1,0.7302268073246084,0.5209925719891452,0.48172854288331346,0.449768627422949,0.37653353328268674,0.5708721032057046,0.31819338731766106,0.2967276687643377,0.2222835340467309,-0.04756122222245528,inflsw_5y(+0.63); xle(+0.63); be_5y(+0.60),mxef(+0.61); csi300(+0.53); hscei(+0.47),gpr(+0.48); epu(+0.32); gvz(+0.29),ust_2y(+0.41); ust_5y(+0.41); fx_usdcnh(+0.37),fx_eurusd(+0.32); fx_dxy(-0.25); fx_usdcnh(-0.23)
88,2021-11-17,2023-01-04,2023-02-13,252,21,0.0,1,0.7734440786130109,0.5576272632481898,0.5103657865385014,0.43104976059178246,0.3718023199427722,0.4186679742407697,0.008822387505576417,0.048963120304578465,0.36131989224973177,-0.33128132333502597,xle(+0.69); inflsw_5y(+0.63); be_5y(+0.63),epu(+0.48); gpr(+0.45); fx_audusd(+0.38),mxef(+0.60); csi300(+0.51); hscei(+0.49),fx_usdcnh(+0.40); ust_2y(+0.38); fx_bbdxy(+0.37),ust_10y(+0.23); fx_usdclp(+0.22); ust_5y(+0.21)
89,2021-12-17,2023-02-14,2023-03-15,252,21,0.0,1,0.7055598127028886,0.5099847294929007,0.4842088994709821,0.42655125675726013,0.3474639539073205,0.5166785442402417,0.43397178439649814,-0.12213954260936628,0.3258810678325586,0.09849237229798206,inflsw_5y(+0.59); xle(+0.58); be_5y(+0.56),fx_usdcnh(+0.52); fx_audusd(-0.47); fx_dxy(+0.45),epu(+0.30); mxef(+0.28); fx_usdcnh(-0.26),mxef(+0.43); hy_oas(-0.43); ust_2y(+0.41),be_10y(+0.32); be_5y(+0.29); fx_usdclp(+0.27)
90,2022-01-24,2023-03-16,2023-04-18,252,21,0.0,1,0.7063983747506867,0.49853456960431103,0.4634576267384204,0.42176884462113984,0.3414856735678332,0.4039595179789303,0.23571697010654882,0.16030910648993113,0.24170149120052797,0.4906189075186137,inflsw_5y(+0.57); xle(+0.55); tips_5y(-0.54),fx_usdcnh(+0.45); fx_usdzar(+0.45); gpr(+0.42),fx_usdcnh(+0.36); ovx(-0.31); fx_bbdxy(+0.30),mxef(+0.48); hy_oas(-0.46); ust_5y(+0.39),fx_usdclp(+0.31); cny_10y(-0.27); be_10y(+0.21)
91,2022-03-02,2023-04-19,2023-05-23,252,21,0.0,1,0.6953060735022003,0.5430013771258334,0.44510757216816327,0.42036373336466293,0.34505402409063485,0.16073575159155606,-0.01863087599086692,-0.056847687889274454,0.2260972648172955,0.12808351006150784,tips_5y(+0.55); xle(-0.51); inflsw_5y(-0.50),fx_usdzar(+0.47); gpr(+0.45); fx_bbdxy(+0.43),ovx(+0.39); gvz(+0.33); ust_2y(-0.29),fx_eurusd(+0.34); be_10y(+0.30); mxef(+0.29),mxef(+0.44); hscei(+0.44); hy_oas(-0.35)
