horizon,phi_spanned,phi_weak,boot_lo_spanned,boot_hi_spanned,boot_lo_weak,boot_hi_weak,v_full
1,-2.3250898939427558e-06,-8.872016357843539e-06,-3.314095383088372e-06,-1.378215076381428e-06,-1.1471056300326015e-05,-6.6119709938050655e-06,-1.1197106251786295e-05
5,-1.0668068461966809e-05,-3.233979995884942e-05,-1.8892449274686018e-05,-4.078567291175089e-06,-4.4132440022546554e-05,-2.2490718858190896e-05,-4.300786842081623e-05
21,-3.824373835485586e-05,-0.00015788290776770197,-8.305194588551965e-05,-5.8414690034676335e-06,-0.00023425299101603934,-0.00010302680639782671,-0.00019612664612255783
63,-0.000130746252460949,-0.0010299794602457793,-0.000200368064156732,-7.179722962057313e-05,-0.002000137753999837,-0.00027515158342682563,-0.0011607257127067283
