horizon,r2_oos_ar_vs_mean,cw_p_ar_vs_mean,r2_oos_full_vs_ar,cw_p_full_vs_ar,n_origins
1,0.028647780691644864,7.453656691858157e-09,-0.0013631849696655873,0.095930522028705,1148
5,0.17403798140773974,1.4191786412709462e-08,-0.002497234415999916,0.2434289171329168,1148
21,0.29201289193277924,3.5671965768035996e-05,-0.005226627792827898,0.41219839151007354,1148
