r2_injected,rep,cw_stat,cw_p,r2_oos_vs_ar1,detected
0.0,0,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,1,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,2,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,3,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,4,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,5,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,6,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,7,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,8,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,9,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,10,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,11,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,12,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,13,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,14,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.0,15,0.4453180739936223,0.3280449540763206,-0.0031012272566666166,False
0.001,0,-0.6265823618716055,0.7345334834512395,-0.004591032652278448,False
0.001,1,1.5295686808833955,0.06306176333687541,-0.002325415342071979,False
0.001,2,2.463823388626044,0.006873191346495111,-0.00047624934370404937,True
0.001,3,-1.7730600189955594,0.9618906189756109,-0.0048599157196316245,False
0.001,4,1.0362621748471663,0.15003992373929753,-0.002675638897953192,False
0.001,5,0.8578145339820646,0.19549744150221315,-0.0026486417074031987,False
0.001,6,2.307755697940265,0.010506364126980028,-0.0014309656818951577,True
0.001,7,1.9446621791303085,0.025907825166330833,-0.0015806657877512897,True
0.0025,0,2.7568695903114144,0.0029178810354617557,-0.00011947070583295805,True
0.0025,1,3.8080625736726126,7.002991807636416e-05,0.00028776255045914745,True
0.0025,2,2.5666956491908564,0.005133634272959098,-0.00024024813802281386,True
0.0025,3,1.8254088400250188,0.03396967814561602,-0.0016926690329261973,True
0.0025,4,2.11725944441918,0.017118917409513545,-0.0015261750465236368,True
0.0025,5,1.6965697335168957,0.044889018004541925,-0.0014940879316447386,True
0.0025,6,3.7651507914706333,8.322430077334353e-05,0.0008525512818211567,True
0.0025,7,2.2633504720708686,0.01180704663813914,-0.0014014003105595751,True
0.005,0,2.651555278383288,0.004006099821930009,-0.0012406035580871944,True
0.005,1,0.05501746054765854,0.47806227667755086,-0.0034380304040355636,False
0.005,2,3.787200533913926,7.617706861140494e-05,0.0032842674838573505,True
0.005,3,3.8300034700065737,6.407072599268204e-05,0.00030643591342383036,True
0.005,4,5.169421789801685,1.1740968952622666e-07,0.004079743861140406,True
0.005,5,4.048139723937688,2.581316270555689e-05,0.0013463105116786611,True
0.005,6,1.0884716268223007,0.13819347781735591,-0.0026395935577558927,False
0.005,7,3.924734581739933,4.341270754415483e-05,0.004262819875910262,True
0.01,0,5.6397493096469775,8.514895788458432e-09,0.004256557372148029,True
0.01,1,3.7064216590443784,0.00010510410906772183,-0.00044961299880075245,True
0.01,2,7.6418224011226386,1.0658141036401503e-14,0.010032473453545188,True
0.01,3,6.585815410713248,2.2619794926015402e-11,0.00895297627701086,True
0.01,4,3.3947239198211134,0.0003434891847177157,-0.00015545283086115802,True
0.01,5,5.5437406741067035,1.4803861914103322e-08,0.006375762353324044,True
0.01,6,6.6311463590055055,1.6654455592401973e-11,0.011327618841175058,True
0.01,7,5.717105345719785,5.417697401810528e-09,0.0042655029805366285,True
0.02,0,4.923162463717857,4.2578348768973484e-07,0.015194647596607935,True
0.02,1,8.541395779963628,0.0,0.020323636636586317,True
0.02,2,5.507169659415841,1.8232439891185948e-08,0.01701297479854258,True
0.02,3,7.960479051235291,8.881784197001252e-16,0.018310337338988347,True
0.02,4,9.336188319058982,0.0,0.015091298015407428,True
0.02,5,5.993475721841814,1.0270142514201552e-09,0.011155932439706806,True
0.02,6,6.9572534751283035,1.7348344982792696e-12,0.014426711737470232,True
0.02,7,6.317735140976775,1.3271217458310502e-10,0.013743014688647248,True
