r2_injected,detect_rate,median_p,mean_r2_oos
0.0,0.0,0.3280449540763206,-0.0031012272566666166
0.001,0.375,0.10655084353808647,-0.0025735656415861174
0.0025,1.0,0.008470340455549119,-0.000666717166653702
0.005,0.75,7.012389730204349e-05,0.0007451687657664824
0.01,1.0,6.96629659513448e-09,0.005575728181009737
0.02,1.0,6.722350454069215e-11,0.015657319156494612
