horizon,r2_insample_state,r2_insample_state_ownlag
1,0.00365313481546971,0.004697705403586346
5,0.0014690090221985922,0.005039457891504935
21,0.002312752863512481,0.006389520593097904
63,0.0026259546318503834,0.022860822519077346
