state,K,r2_oos_vs_ar1,cw_stat,cw_p
ae_cv_state (pipeline),5,-0.0031012272566666166,0.4453180739936213,0.32804495407632095
pca5_state,5,-0.0022929363383177304,0.8578139142985128,0.19549761261925758
sector_mean_state,3,-0.0013250229367989252,0.7142866709114134,0.2375249663193315
