arm,v,cw_stat,cw_p,cw_p_placebo_cal
none,-1.4157622473976329e-06,0.3800191438886295,0.3519656022731512,
all_same_day,-6.901928663481313e-07,2.422983312005172,0.00769681690349,0.019801980198019802
all_embargo_1d,-1.3804153227752391e-06,-0.7339979034523734,0.7685249920687579,
