group,n_series,n_reject_h1,n_pairs,reject_rate,n_reject_embargo,reject_rate_embargo
after,29,170,609,0.2791461412151067,41,0.06732348111658457
before,6,3,126,0.023809523809523808,5,0.03968253968253968
ambiguous,2,6,42,0.14285714285714285,5,0.11904761904761904
