date,F1,F2,F3,F4,F5
2013-10-21,0.5501775,0.19069108,0.08874513,-0.66954136,0.24718705
2013-10-22,0.8967474,-0.9400522,0.13161413,-0.8709338,0.5115831
2013-10-23,-0.5164964,0.976967,-0.091021456,-0.15074663,-1.1350511
2013-10-24,0.8115947,-0.5401592,0.711711,-0.67774814,-0.4919909
2013-10-25,0.1761862,-0.111267455,0.6934356,-0.11738442,0.07389616
2013-10-28,0.19750704,-0.7865118,1.7016721,0.019829713,-0.032887995
2013-10-29,0.11561775,0.71702343,0.30566376,-0.10413343,0.0058109057
2013-10-30,0.95238173,-0.49130887,0.26845422,-0.2399037,-0.19931205
2013-10-31,-1.0293036,1.3612689,1.0356675,0.22960995,-0.16309765
2013-11-01,-0.5360471,0.120475955,0.025238426,-0.73974544,0.06401536
2013-11-04,-0.28464544,0.010365331,0.5541162,-0.14890371,-0.6665206
2013-11-05,0.006482959,0.27995193,0.55386704,-0.24260879,-0.16105717
2013-11-06,0.47461718,-0.3575455,0.56695443,-0.14599508,-0.5418614
2013-11-07,-0.034284677,0.7034406,-0.035908,-0.309049,-0.17809807
2013-11-08,-0.2424679,1.149109,0.29805842,0.75964326,-0.017542927
2013-11-11,-0.026134485,0.31755581,0.35365894,0.58576167,-0.44411597
2013-11-12,-0.19991072,0.8702699,0.068532445,0.10306375,-0.40074357
2013-11-13,-0.29750466,0.3716453,0.84219164,0.39686382,-0.21320504
2013-11-14,1.0155026,-0.57307404,0.69796944,-0.4793273,-0.9440007
2013-11-15,0.43900365,-0.39123392,1.0073452,-0.41137323,-0.2820885
2013-11-18,-0.85844946,0.4934981,0.8612148,0.16409224,-0.025806896
2013-11-19,0.16535006,-0.06107232,0.08940149,-0.41102394,0.64273113
2013-11-20,-0.32879245,0.49825156,0.6418493,0.7725789,-0.5751859
2013-11-21,0.043782108,0.49222875,0.28037056,1.0975827,0.011638992
2013-11-22,0.36997432,0.61468947,0.10191237,0.05618699,0.24629344
2013-11-25,0.1763864,0.5701673,-0.29380113,-0.09484915,-0.2670582
2013-11-26,0.19042777,0.13192347,0.58943945,-0.00836568,-0.5338934
2013-11-27,-0.20041232,0.42800122,0.67804927,0.15810418,-0.85947824
2013-11-29,1.1267196,-0.24707001,-0.45059222,-0.49460036,-0.099869326
2013-12-02,-0.8251111,0.9316667,1.1994356,0.645809,-0.23071042
2013-12-03,-0.111416966,0.010949837,0.39734927,0.50159067,-0.25776535
2013-12-04,1.447435,-0.90465426,-0.2329596,-0.8674515,0.5598116
2013-12-06,-0.33485112,0.91010046,0.57830375,0.18852746,0.42907137
2013-12-09,0.8066041,0.3227923,-0.5560174,-0.66544807,0.19515891
2013-12-10,1.1030813,-1.3413756,0.07008828,-0.6816641,-0.092763744
2013-12-11,0.52770776,0.6264955,-0.1713028,-0.010934174,0.23690768
2013-12-12,-0.7067511,1.0495073,1.3847457,0.13382572,-0.33653772
2013-12-13,0.63151926,-0.4330513,0.5775273,-0.7450696,0.16853066
2013-12-16,1.8215107,0.6067334,0.2875867,-0.3958576,-1.0037943
2013-12-18,-0.6919329,-0.32539606,0.9228189,0.14259213,0.10423329
2013-12-19,-0.842869,1.5827422,0.45248398,1.0234299,-0.19904569
2013-12-20,0.88109034,-0.4556376,-0.11177573,-0.027462611,0.5930321
2013-12-23,-0.1358729,0.03896326,0.86072516,-0.098812304,-0.46566775
2013-12-24,0.3810059,-0.35278943,0.25732052,-0.18033962,0.4366329
2013-12-27,1.3917015,-1.0771775,0.37947875,-0.6237005,0.5447389
2013-12-30,-0.5325967,0.7985561,0.7111586,-0.16840363,-0.16277996
2013-12-31,-0.4869301,0.052976746,0.54640144,0.029147934,-0.26822206
2014-01-02,0.8854458,-1.035656,-0.009411074,-1.3262315,-0.65270364
2014-01-03,-0.013568591,-0.32860696,-0.4589692,-0.24652389,-1.3090272
2014-01-06,-0.20804629,-0.027798127,-0.28387,0.1797136,0.01682215
