date,F1,F2,F3,F4,F5
2013-10-21,0.15106545,0.0564811,-0.63738304,-0.4478313,-0.14401865
2013-10-22,0.7143959,-1.2041566,-0.7707321,-0.93202525,-0.25414902
2013-10-23,-0.95921075,1.3417873,0.5166424,-0.37525502,-1.0271995
2013-10-24,0.322798,-1.0612354,-0.08475813,-0.7794417,-0.15537547
2013-10-25,0.12440231,-0.286795,0.5209806,-0.28636134,0.57482696
2013-10-28,0.4764937,-1.2899237,1.1979879,-0.16649748,0.46644533
2013-10-29,0.028083457,0.7016245,0.39318582,-0.04935255,-0.12381105
2013-10-30,0.9399572,-0.5937848,-0.5833467,-0.3273056,-0.0801406
2013-10-31,-0.92080605,1.0591109,2.0237374,-0.038382877,0.39133668
2013-11-01,-0.7929204,1.0925636,0.0036156834,-1.0631427,-0.43732983
2013-11-04,-0.3814299,0.011504177,1.0365576,-0.27230898,-0.6856113
2013-11-05,-0.23086837,0.3149532,0.58222216,-0.46421608,0.18359509
2013-11-06,0.30029714,-0.8611293,0.48359302,-0.17788723,-0.5882841
2013-11-07,-0.41528094,0.88639027,0.25384632,-0.45204103,0.012463108
2013-11-08,0.16644745,0.9855811,0.83444905,0.6586071,0.75933737
2013-11-11,0.32738808,0.4686511,0.6160898,0.5155684,-0.13820817
2013-11-12,-0.50045216,1.0372708,0.8133437,-0.16457564,0.007755185
2013-11-13,-0.11700805,-0.0610884,1.5044429,0.36489186,0.09344068
2013-11-14,0.6234169,-1.2571597,0.36939225,-0.34524667,-0.53338397
2013-11-15,0.15822127,-0.64268565,0.60822344,-0.6364353,0.4387579
2013-11-18,-0.56050205,0.2806321,1.9050698,-0.122130685,-0.10140314
2013-11-19,0.1862883,0.34260225,-0.5402815,-0.3955385,0.3930289
2013-11-20,0.10861204,0.6203701,1.3918494,0.33840197,0.33282328
2013-11-21,0.90152454,0.8537295,0.5360033,0.97639734,0.35680196
2013-11-22,0.4030471,-0.14935505,0.38628265,0.16113959,0.33913442
2013-11-25,-0.05287896,0.54861957,0.052344948,-0.12169267,-0.2072272
2013-11-26,-0.02675801,-0.3990245,1.0801134,-0.16742079,-0.28085288
2013-11-27,-0.328644,0.2536445,1.4654032,-0.19964795,-0.27690604
2013-11-29,0.7857183,-0.51161385,-0.98125285,-0.4853185,-0.24377503
2013-12-02,-0.41820455,0.93743473,1.8528782,0.32851115,0.64781326
2013-12-03,0.30742812,0.09309209,0.76985097,0.39788523,0.01818014
2013-12-04,1.0590088,-0.8795273,-1.5221,-0.48313162,-0.23457982
2013-12-06,-0.24116684,0.7048274,0.9603156,0.040404044,0.8666628
2013-12-09,0.2505533,0.34469172,-1.2966735,-0.599064,0.18213436
2013-12-10,0.88184285,-1.259757,-0.8491574,-0.6671136,-0.37449813
2013-12-11,0.38697618,0.5608116,-0.40727234,0.00021167326,0.48024318
2013-12-12,-0.7705603,0.93357915,1.7611656,-0.14546299,0.83802474
2013-12-13,0.24699184,-0.9382471,0.11001513,-0.81213105,0.1329652
2013-12-16,0.91307265,-0.26037565,-0.32645646,0.5074094,-0.055717714
2013-12-18,-0.17236441,-0.024342902,0.8722452,-0.30102676,0.44316489
2013-12-19,-0.31888223,1.5003066,1.4655166,0.55318296,0.8012968
2013-12-20,1.179506,-0.6326709,-0.74015623,0.102827765,0.31455308
2013-12-23,-0.10023502,0.2560625,0.8411045,-0.52797353,0.07773122
2013-12-24,0.72944564,-0.5654263,0.006125807,-0.35068852,0.1447079
2013-12-27,1.1949697,-1.3020579,-0.7227355,-0.36073452,0.1736966
2013-12-30,-0.9619232,0.6977297,1.203822,-0.33264223,0.26896468
2013-12-31,-0.23149006,0.19719544,1.243532,-0.26947537,-0.6986751
2014-01-02,-0.001403171,-0.5093849,-1.2101865,-1.5628768,-0.6690638
2014-01-03,-0.20509766,0.33491492,-0.05628026,-0.5785292,-1.7117425
2014-01-06,0.09421606,0.5779658,0.09144505,-0.13656661,-0.03496204
2014-01-07,-0.022011546,0.17175817,1.0391403,0.1872346,0.59188235
2014-01-08,-0.37284935,-0.16883965,1.2927167,-0.6127967,-0.10611257
2014-01-09,-0.24578932,-0.2169323,0.6852825,-0.5345041,-1.2645644
2014-01-10,0.98145956,-0.026026785,-2.0166366,0.032544535,0.2714798
2014-01-13,0.3022597,-0.021273145,-0.9258056,-0.34511274,0.5791467
2014-01-14,0.09257417,0.29407713,0.5161963,0.1092778,0.18160982
2014-01-15,0.39513877,-0.47886017,0.90785986,0.010041939,0.9683161
2014-01-16,0.11291562,0.47515997,-0.15079552,-0.07394035,-0.095249586
2014-01-17,0.5436322,-1.2527952,-0.047727123,-0.46072286,-0.015969563
2014-01-21,-0.12014467,0.48264697,1.2049984,-0.13789077,0.5160582
2014-01-22,0.42625988,-0.22613566,0.9076486,0.20527305,0.023979304
2014-01-23,0.12109426,-0.5007006,0.27733767,-0.053601287,-1.6310518
2014-01-24,-0.22680336,0.11416773,1.4109554,0.22764817,-0.08211442
