date,F1,F2,F3,F4,F5
2013-10-21,0.42250848,0.111589864,0.10802358,-0.504352,0.09798156
2013-10-22,0.6928689,-0.7599397,0.07641694,-0.65320575,0.23673403
2013-10-23,-0.4322671,0.8265661,0.015695179,-0.23434699,-0.8397758
2013-10-24,0.6491426,-0.40550345,0.56346667,-0.54475826,-0.4599385
2013-10-25,0.15069538,-0.1166976,0.5535398,-0.08414822,-0.04060918
2013-10-28,0.2662184,-0.641357,1.345763,-0.030524136,-0.14341715
2013-10-29,0.11364998,0.504027,0.30695498,-0.08364918,-0.06733377
2013-10-30,0.7263767,-0.4093156,0.24121577,-0.14935696,-0.1856371
2013-10-31,-0.76030445,1.083826,0.8932775,0.11138588,-0.18175836
2013-11-01,-0.48549908,0.047867466,0.065378964,-0.62480867,-0.00553557
2013-11-04,-0.19225666,0.057600696,0.46208504,-0.2239885,-0.5230946
2013-11-05,0.013235986,0.20162222,0.4614397,-0.22163287,-0.17764457
2013-11-06,0.39099324,-0.28485107,0.48268116,-0.1488484,-0.41221678
2013-11-07,-0.03907201,0.5383223,0.034874044,-0.26276386,-0.17852287
2013-11-08,-0.12571861,0.8668403,0.32724628,0.6138172,-0.046047144
2013-11-11,0.031991705,0.24138992,0.3409002,0.42406943,-0.33417577
2013-11-12,-0.14889652,0.668051,0.1403776,0.025871633,-0.28276187
2013-11-13,-0.15431625,0.27586898,0.70960784,0.25600561,-0.23531273
2013-11-14,0.83377826,-0.44131804,0.54983115,-0.4059316,-0.7709569
2013-11-15,0.3771952,-0.2702789,0.7712667,-0.37273684,-0.25562966
2013-11-18,-0.62566155,0.37174,0.70553875,0.045403335,-0.06275077
2013-11-19,0.11443073,-0.1334638,0.11517221,-0.2699372,0.35477716
2013-11-20,-0.2032124,0.4014384,0.5573428,0.5594923,-0.44800597
2013-11-21,0.12956725,0.35213965,0.31164044,0.89693004,-0.01132589
2013-11-22,0.29081127,0.40126556,0.1371938,0.09750335,0.118411526
2013-11-25,0.12431879,0.42443654,-0.15414962,-0.09301661,-0.18750246
