date,F1,F2,F3,F4,F5
2013-10-21,-0.28759035,0.048448827,-0.37911752,-0.5617935,0.124720454
2013-10-22,-1.4153935,0.36791742,-0.82679605,-0.8956742,-0.31100237
2013-10-23,0.63745946,-1.1204255,0.4038555,0.17078102,1.2368737
2013-10-24,-1.1398947,0.24870268,-0.52706844,-0.028369995,0.054768052
2013-10-25,-0.40153313,0.40055138,0.04311995,0.26445103,-0.0032274534
2013-10-28,-0.7472461,1.1138661,0.16597475,0.9418897,-0.17785382
2013-10-29,0.4510961,-0.26870358,0.12629424,0.041364662,0.18594599
2013-10-30,-0.71812326,0.08771306,-0.5801108,-0.108770944,-0.65038925
2013-10-31,1.2210828,0.21743026,1.0576679,1.0798142,1.0363404
2013-11-01,-0.016232539,-0.16494244,-0.2370899,-0.4207472,1.2171761
2013-11-04,0.16005178,0.02242595,0.14219278,0.39532295,0.7247022
2013-11-05,-0.03600135,0.2411363,0.11416583,0.17101146,0.4322353
2013-11-06,-0.39599723,0.25755283,-0.2061195,0.31633487,-0.14941548
2013-11-07,0.3647214,-0.24750926,0.0589394,-0.20986545,0.60060716
2013-11-08,1.2167809,-0.085238755,0.80121344,0.5945015,-0.18075648
2013-11-11,0.5551128,-0.16811568,0.4360448,0.49956176,-0.23720609
2013-11-12,0.753424,-0.16039315,0.29912347,0.21054903,0.44656664
2013-11-13,0.5878026,0.17418422,0.47366488,0.87123656,0.13004227
2013-11-14,-0.53536457,0.3904608,-0.67997915,0.17669848,-0.2874049
2013-11-15,-0.5758736,1.0017213,-0.1666745,0.26741835,0.14191559
2013-11-18,0.5841793,0.35572514,0.69823605,0.7651194,0.84306794
2013-11-19,-0.088724844,0.0049410234,-0.38130718,-0.56718457,0.023027679
2013-11-20,0.7094888,0.08104278,0.7550393,0.9425065,0.017015759
2013-11-21,1.0654396,-0.20160167,0.56350255,0.37604317,-0.93514377
2013-11-22,0.12396216,-0.25362408,0.086113505,0.1272886,-0.2722811
2013-11-25,0.3760825,-0.19526812,0.023401737,-0.24940854,0.20550872
2013-11-26,-0.039985497,0.33297822,0.18163115,0.46767658,0.15405092
2013-11-27,0.29642862,-0.10694665,0.42027935,0.74521625,0.56979406
2013-11-29,-0.53777796,-0.085889265,-0.76652366,-0.86638844,-0.5536424
2013-12-02,1.0252596,0.1926219,1.1566869,1.3787146,0.46232733
2013-12-03,0.61261266,0.027696678,0.124925114,0.45381546,-0.22670034
2013-12-04,-1.2878191,0.14996183,-1.1921822,-1.1490759,-0.89113903
2013-12-06,0.60421073,0.297081,0.5499487,0.4894048,0.19626854
2013-12-09,-0.37567875,-0.3984866,-0.5862567,-1.0152276,-0.08551499
2013-12-10,-1.1537112,0.56990445,-1.1547704,-0.860279,-0.5987562
2013-12-11,0.10171299,-0.1990922,-0.00044947572,-0.33473474,-0.38594654
2013-12-12,0.76629347,0.83442277,0.8906487,1.1531488,0.94330895
2013-12-13,-0.7722523,0.8363847,-0.5108254,-0.30816424,0.07126603
2013-12-16,-0.4911396,-0.61691654,-0.5536624,-0.026739806,-0.96879566
2013-12-18,-0.021740984,0.72693783,0.2365405,0.4832354,0.48696646
2013-12-19,1.6774695,-0.30930048,1.500492,1.0428507,0.14949155
2013-12-20,-0.21876484,0.22468849,-0.49054852,-0.636529,-1.0486217
2013-12-23,-0.015604372,0.39766058,0.15959229,0.35727486,0.49674845
2013-12-24,-0.2680727,0.42290807,-0.29650894,-0.23597588,-0.3362598
2013-12-27,-1.1611531,0.7909085,-1.0073456,-0.72012013,-1.0326643
2013-12-30,0.34420776,0.2374274,0.48823985,0.5829272,0.97176456
2013-12-31,0.28128076,0.013831502,0.36928314,0.3189269,0.60525995
2014-01-02,-1.6603936,0.21944092,-1.1424898,-1.0094932,0.542835
2014-01-03,0.13023892,-0.74883914,-0.33692417,-0.5133396,0.69530934
2014-01-06,0.54564357,0.030700525,-0.049423303,-0.3641361,0.04411258
2014-01-07,0.49598467,0.32110962,0.2871618,0.53362775,-0.040193833
2014-01-08,-0.095037535,0.6022399,0.028411876,0.5398993,0.76166147
2014-01-09,0.024687892,-0.041852813,-0.20130317,0.031481497,0.72057
2014-01-10,-0.53296137,-0.23960592,-0.7418125,-1.1602538,-1.1614976
2014-01-13,-0.831023,-0.29641882,-0.28483668,-0.40301433,-0.3890282
2014-01-14,0.3486449,-0.45698857,0.053002477,0.13321726,-0.04370547
2014-01-15,-0.34439486,0.9619374,0.32911307,0.63493466,-0.3761219
2014-01-16,0.28788656,-0.28316614,0.051551178,-0.53156984,-0.10810182
2014-01-17,-0.85650796,0.66515136,-0.61852884,-0.08122667,-0.29783973
