date,F1,F2,F3,F4
2013-10-21,0.014423595,0.14642935,1.075794,0.32061052
2013-10-22,0.98241806,0.87895983,2.1294975,-0.35225537
2013-10-23,-1.0588866,-1.7830464,0.2562017,0.29075214
2013-10-24,1.1941842,0.48610145,0.8421693,0.42980686
2013-10-25,0.7594912,0.18312523,-0.13996406,0.50939447
2013-10-28,1.853634,0.49489242,-0.73202443,0.6282544
2013-10-29,-0.41082296,-0.39911845,-0.1789248,0.24565552
2013-10-30,0.60794914,1.0825635,0.7311744,0.0013116456
2013-10-31,0.0067602033,-1.9472324,-1.5809726,0.7304532
2013-11-01,-0.041120164,-1.1641699,1.0341101,1.2222441
2013-11-04,-0.022382293,-1.0529828,0.08243208,0.4066343
2013-11-05,0.3913881,-0.47179267,0.0041189445,0.70418036
2013-11-06,0.6666441,0.22482681,0.0011872327,0.23317455
2013-11-07,-0.5028427,-0.729642,0.4691572,0.5204147
2013-11-08,-0.94455004,-0.33966455,-1.6375823,-0.18431857
2013-11-11,-0.6575181,-0.034593098,-0.9230117,-0.11403476
2013-11-12,-0.38042822,-0.783595,-0.3209083,0.49856213
2013-11-13,0.035924755,-0.64592123,-1.12175,0.21345894
2013-11-14,0.8115644,0.46839494,0.41642055,-0.35188887
2013-11-15,1.5002767,0.23031373,-0.08458009,0.90411884
2013-11-18,0.13261354,-1.2553971,-0.8847806,0.7552726
2013-11-19,-0.00047641454,0.31133506,0.7137631,0.46208665
2013-11-20,-0.26325905,-0.44357273,-1.5625142,0.15895608
2013-11-21,-1.1823497,0.5304215,-1.6141527,-0.6788384
2013-11-22,-0.115446806,0.17984277,-0.11852227,0.009020228
2013-11-25,-0.6049303,-0.2680568,0.44234782,0.24977693
2013-11-26,0.46569762,-0.31072295,-0.30399686,0.26123983
2013-11-27,0.07183687,-1.0887963,-0.5464589,0.27445924
2013-11-29,0.18905997,1.0508595,1.389033,-0.27007088
2013-12-02,-0.1377595,-1.2101467,-2.0492792,0.55608445
2013-12-03,-0.40722635,0.011755236,-0.81307864,0.10132169
2013-12-04,0.55954176,1.7543542,1.9590572,-0.30662704
2013-12-06,0.16734672,-0.4830247,-1.1682633,0.621216
2013-12-09,-0.19161822,0.5192174,1.5321797,0.040709812
2013-12-10,0.93471915,1.4242834,1.5846828,0.056152105
2013-12-11,-0.30547732,0.51327443,0.19991785,0.078420036
2013-12-12,0.98319435,-1.5760258,-1.5877696,1.0354722
2013-12-13,1.161113,0.5014195,0.82868505,0.77831686
2013-12-16,-0.20404914,1.4933679,-0.14562893,1.299587
2013-12-18,0.90415394,-0.7973683,-0.42646483,0.030924285
2013-12-19,-0.95453554,-1.0623004,-2.5243697,0.08092651
2013-12-20,0.046819806,1.4915628,0.6887127,-0.5134783
2013-12-23,0.7220349,-0.73724294,-0.27856746,0.32226005
2013-12-24,0.56338567,0.6533637,0.41092739,-0.15779081
2013-12-27,1.090034,1.947902,1.0626458,-0.18761072
2013-12-30,0.34491476,-1.3971204,-0.52507734,0.8548301
2013-12-31,-0.04714423,-1.1322168,-0.05684227,0.032220397
2014-01-02,1.0906466,0.23212479,2.6152046,0.02569324
2014-01-03,-0.7138735,-1.0204841,1.5603026,-0.3858702
2014-01-06,-0.54013795,-0.279812,0.42603204,-0.5867674
2014-01-07,0.14445457,-0.075838916,-0.9266824,0.7389124
2014-01-08,0.8840613,-0.9517438,-0.054255765,0.6370628
2014-01-09,0.096195385,-0.9789773,0.58911204,0.4537275
2014-01-10,-0.43619296,1.7292194,1.4246404,-0.5972993
2014-01-13,0.4030362,1.1100309,0.5003775,1.1977751
2014-01-14,-0.35683462,0.036419593,-0.40119252,0.6677723
2014-01-15,1.4392644,0.4312527,-0.8519095,0.32679847
2014-01-16,-0.66731554,-0.10342413,0.65936106,-0.7366651
2014-01-17,1.2412249,0.89837426,0.5262017,0.41543692
2014-01-21,0.71003234,-0.64158905,-0.96943504,0.37425008
2014-01-22,0.36226675,-0.031769626,-0.9626335,-0.2799626
2014-01-23,-0.65195,-0.334548,0.80425024,-0.22782145
2014-01-24,-0.096859254,-0.5561498,-1.0093055,0.3952963
2014-01-27,-0.00056142156,-1.1350827,0.70664775,1.0046443
2014-01-28,-0.54229355,-0.15302196,-1.3874187,0.05027953
2014-01-29,1.720332,0.12049017,-0.69077617,0.8160913
2014-02-10,-2.8296378,0.6841985,0.67419297,-1.5831606
2014-02-11,0.23653582,0.2890577,0.20888565,-0.19653341
2014-02-12,0.5279801,1.2878188,0.83869123,0.2856315
2014-02-13,-0.47258356,0.13067181,0.0027741694,-0.30043933
2014-02-14,0.4761681,1.3612543,1.5227274,-0.08526264
2014-02-18,-1.3542775,1.6950872,0.28975174,-1.1890786
2014-02-19,-0.9115386,0.61365753,-0.33713654,-0.23559669
2014-02-20,-0.329169,-0.47154173,-0.5847715,0.1672311
2014-02-21,-0.055022035,0.15472727,1.2117475,0.097324744
2014-02-24,-1.0268078,0.47607076,1.3991615,-0.48890662
2014-02-25,-0.5713587,-0.2783259,0.8854292,0.09862354
2014-02-26,-0.27532274,-0.63852537,-1.3871182,0.46655458
2014-02-27,1.1098318,0.07105801,0.94721895,0.3910142
2014-02-28,-0.9320289,-0.13921595,-0.651977,-0.58251953
2014-03-03,-1.7935493,1.0833211,0.33825302,-0.8411116
2014-03-04,-0.7207767,0.46025267,0.73310626,-0.37514243
2014-03-05,-0.720824,0.04119675,1.4336048,0.34187156
2014-03-06,-1.0971397,0.8483865,1.0145758,-0.60124266
2014-03-07,-0.8396184,-1.3224918,-1.5686125,0.012366512
2014-03-10,1.1731673,-0.87199426,0.57481325,0.24975954
2014-03-11,-1.0155119,-1.127953,0.09255301,-0.6176887
2014-03-12,0.10759376,0.35649958,1.8174287,0.15752149
2014-03-13,-0.11815297,-0.63223386,0.42706206,0.41358522
2014-03-14,1.634834,0.17975846,-0.51371723,0.22938317
2014-03-17,-0.66087174,-0.9898737,0.66228634,0.41327947
2014-03-18,-1.5819314,0.018609058,-0.4788222,-1.4274942
2014-03-19,-0.9248961,-0.68781126,0.08107223,-0.860784
2014-03-20,0.6180579,-1.6880517,-1.1916857,0.7775876
2014-03-21,1.2629306,0.39471138,-0.09037197,0.7126437
2014-03-24,-1.8079021,-0.59708214,-0.52769643,-0.2102125
2014-03-25,0.7880369,0.9827509,-0.023100283,0.28033513
2014-03-26,-0.19244474,-1.0755086,-0.82505035,0.018516919
2014-03-27,-0.93777716,0.2869478,-0.8191911,-0.57925725
2014-03-28,0.31970873,0.6521803,0.21009684,0.41021472
2014-03-31,-1.0267289,-0.03387222,0.5375517,0.15391871
2014-04-01,-0.4805288,-0.3389333,0.8539552,0.45738813
2014-04-02,2.0375743,0.48079097,0.75714386,0.90726674
2014-04-03,-0.9360463,0.39941064,-0.9255607,-0.48857388
2014-04-04,0.12633082,0.9726218,0.7160034,0.24123614
2014-04-08,-0.6715976,0.8881913,-0.10109128,-0.4467208
2014-04-09,0.12825991,0.42706627,-0.760437,0.14639376
2014-04-10,1.1404505,1.1489062,1.156462,0.5457237
