date,F1,F2,F3,F4
2013-10-21,-0.009449634,-0.02791842,0.038119994,0.016175516
2013-10-22,0.028905341,0.29261997,0.069064215,-0.036696807
2013-10-23,-0.08178246,-0.85302174,0.034677725,0.15300207
2013-10-24,0.0028403427,0.017497316,0.014004194,-0.021674259
2013-10-25,0.009014011,0.01202284,-0.0016315683,-0.006571041
2013-10-28,-0.00010346986,0.12700452,-0.056024153,-0.02834704
2013-10-29,-0.033654254,-0.12385887,0.005477708,0.05577488
2013-10-30,0.002499306,0.45417455,0.007184818,-0.041294206
2013-10-31,-0.036990613,-0.8448438,-0.03733246,0.16630898
2013-11-01,-0.01865888,-0.7253686,0.037679132,0.16418864
2013-11-04,-0.048422683,-0.46660033,0.013889758,0.0748
2013-11-05,-0.0071219206,-0.26830685,0.0060370243,0.06417269
2013-11-06,-0.00027447395,0.048238676,-0.01614815,-0.043428052
2013-11-07,-0.01130754,-0.35726464,0.039824884,0.07394389
2013-11-08,-0.026245309,0.047587592,-0.03795365,-0.005417945
2013-11-11,-0.039918806,0.12392637,-0.0071147257,0.011183795
2013-11-12,-0.0026445312,-0.30636173,0.0016886345,0.12931451
2013-11-13,-0.03709512,-0.14675213,-0.03067322,0.05207543
2013-11-14,-0.020099916,0.18667582,0.007485537,-0.040108606
2013-11-15,0.037518818,-0.069690965,-0.0075375736,0.024235459
2013-11-18,-0.015823407,-0.5852686,-0.01621186,0.10143549
2013-11-19,0.0154927,0.054544616,0.02961109,0.0025919245
2013-11-20,-0.021624355,-0.048352033,-0.030651148,0.06690563
2013-11-21,-0.02175465,0.57969785,-0.031572714,-0.05225698
2013-11-22,0.0044045136,0.15446685,0.004638502,-0.037833255
2013-11-25,-0.0016473171,-0.094649054,0.03539398,0.032785762
2013-11-26,0.0053181453,-0.11438495,-0.0054367427,0.0069167046
2013-11-27,-0.03855193,-0.41517368,0.008349262,0.08654275
2013-11-29,0.045316767,0.46202245,0.029185409,-0.080859385
2013-12-02,-0.02271157,-0.48140395,-0.056431636,0.13027407
2013-12-03,-0.027454684,0.121623114,-0.008313751,8.664053e-05
2013-12-04,0.049529053,0.7067283,0.055182777,-0.14408445
2013-12-06,0.0029497393,-0.18779428,-0.03387599,0.060985092
2013-12-09,0.03031004,0.17529088,0.052651368,-0.033854347
2013-12-10,0.044726145,0.47159642,0.03661371,-0.06696466
2013-12-11,0.010740223,0.27035335,0.012473498,-0.013016292
2013-12-12,0.04097655,-0.7778091,-0.068966754,0.15037616
2013-12-13,0.026241047,0.009515108,0.030965166,0.027245805
2013-12-16,0.06551726,0.6735595,-0.017355196,-0.05286975
2013-12-18,-0.023672266,-0.36672568,-0.025665075,0.021010282
2013-12-19,-0.009032501,-0.24756797,-0.06422808,0.10586991
2013-12-20,0.028673463,0.76587474,0.01757656,-0.09287624
2013-12-23,-0.0259889,-0.3403551,-0.007851742,0.087988384
2013-12-24,0.013182253,0.28700566,0.009182519,-0.04607202
2013-12-27,0.07189749,0.8014927,0.016142752,-0.16386841
2013-12-30,-0.012171766,-0.67539537,-0.017758206,0.13571098
2013-12-31,-0.051549707,-0.41745347,0.0015180216,0.058808587
2014-01-02,0.02809907,-0.32554093,0.06421864,0.031146057
2014-01-03,-0.058936264,-0.43571058,0.05783978,0.09869417
2014-01-06,0.0016857487,0.018680569,0.035826385,0.031570237
2014-01-07,-0.0034797678,-0.016856091,-0.030181138,-0.008937639
2014-01-08,-0.01341347,-0.48853785,0.0048077526,0.11950568
2014-01-09,-0.043295335,-0.47666088,0.003988032,0.078931265
2014-01-10,0.003976677,0.86630195,0.05810127,-0.10181939
2014-01-13,0.04362705,0.29583257,0.010445246,-0.049701937
2014-01-14,0.010257959,0.027478384,-0.0041437056,-0.03130297
2014-01-15,0.027810143,0.2126286,-0.054367427,-0.050533168
2014-01-16,-0.006461501,0.13456178,0.040292334,0.0061281756
2014-01-17,0.026560739,0.23321784,-1.960376e-05,-0.07003279
2014-01-21,0.010542713,-0.1851469,-0.044598,0.047524918
2014-01-22,-0.019968556,0.10354784,-0.03496381,-0.04579342
2014-01-23,-0.039008725,-0.076889575,0.04340736,0.009254636
2014-01-24,-0.02534428,-0.19529402,0.0068008313,0.054951254
2014-01-27,-0.034687262,-0.666161,0.05094301,0.1146731
2014-01-28,-0.01708807,0.08442369,-0.022482198,0.028621953
2014-01-29,0.009420987,-0.028738426,-0.034889303,0.011966943
2014-02-10,-0.003453331,0.9238034,0.057373162,-0.095830694
2014-02-11,0.016530298,0.1993352,0.010245084,-0.039672457
2014-02-12,0.03521862,0.48377877,0.020620791,-0.039997697
2014-02-13,-0.022532336,0.19242473,0.010254223,-0.021325907
2014-02-14,0.005702682,0.47541007,0.033270385,-0.09729185
2014-02-18,-0.003661425,1.2384819,-0.011182353,-0.16158734
2014-02-19,0.016607342,0.42873237,0.02764851,0.031750496
2014-02-20,-0.04189598,-0.12771593,0.002381436,0.041646644
2014-02-21,0.0046739304,0.05403561,0.0317127,0.0037200528
2014-02-24,0.010548971,0.34367678,0.060270563,-0.031165617
2014-02-25,-0.02271927,-0.13636613,0.061113708,0.039032336
2014-02-26,-0.011491139,-0.16733462,-0.01575876,0.07251469
2014-02-27,0.03876847,-0.13496707,0.012317348,-0.0017857018
2014-02-28,-0.01374951,0.13527444,-0.022980329,-0.011372577
2014-03-03,0.033110313,0.7363453,-0.049285863,-0.032503802
2014-03-04,0.019134223,0.3162115,0.02601564,-0.022619037
2014-03-05,0.022857383,-0.046313293,0.07226882,0.09059197
2014-03-06,-0.005798531,0.53181535,0.03391988,-0.07657682
2014-03-07,-0.019386876,-0.46021003,-0.044771556,0.0999929
2014-03-10,0.023371635,-0.49637112,0.008858774,0.09070423
2014-03-11,-0.06515355,-0.36037895,0.022636501,0.12009058
2014-03-12,-0.004705423,-0.008841548,0.053121027,0.00923135
2014-03-13,-0.022158599,-0.29451102,0.025779977,0.06307022
2014-03-14,0.007999474,-0.056776155,-0.033602368,-0.06724482
2014-03-17,-0.032947358,-0.4748111,0.03814961,0.06275837
2014-03-18,-0.01611905,0.42867452,-0.0012849234,-0.06495144
2014-03-19,-0.005417172,-0.07567749,0.020234194,-0.011948487
2014-03-20,-0.047379732,-0.8061257,-0.0675625,0.09446689
2014-03-21,0.019379517,0.028720116,-0.01601395,-0.004901299
2014-03-24,-0.03825302,-0.07891466,0.035652004,0.06755201
2014-03-25,0.05764134,0.37740493,-0.00091022224,-0.050828706
2014-03-26,-0.051802717,-0.3670744,0.002257844,0.06552092
2014-03-27,0.0014860745,0.36317208,0.0007725694,-0.057792675
2014-03-28,0.016301053,0.2148521,0.010224177,-0.006710276
