window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
81,2021-03-30,2022-05-18,2022-06-21,252,21,0.0,4,0.7166617928484919,0.6262671899398308,0.5132600976534052,0.48036015267407695,0.3362873082986059,0.36042941649110627,0.5918553689608332,0.020525157165790463,-0.379271389371501,-0.016352012837613346,xle(+0.63); be_5y(+0.58); inflsw_5y(+0.58),fx_dxy(+0.68); fx_usdcnh(+0.63); fx_bbdxy(+0.62),gpr(+0.39); fx_usdbrl(-0.38); fx_usdcad(-0.35),tips_10y(+0.27); ust_10y(+0.24); hy_oas(+0.24),fx_usdzar(+0.32); bdti(+0.30); move(+0.30)
82,2021-04-30,2022-06-22,2022-07-21,252,21,0.0,2,0.7118756619134287,0.6479888798935857,0.4965937216797274,0.4272795344082076,0.3265937598758385,0.48085362828661854,0.16575751047010762,0.06644429680545666,-0.14155569521467257,-0.23080908761869315,xle(+0.64); be_5y(+0.59); inflsw_5y(+0.57),fx_dxy(+0.62); fx_audusd(-0.61); fx_bbdxy(+0.59),gpr(+0.40); fx_usdcad(-0.38); xle(+0.30),fx_usdnok(+0.26); inflsw_5y(-0.23); hy_oas(+0.19),fx_audusd(+0.38); fx_usdzar(-0.31); fx_bbdxy(-0.29)
83,2021-06-04,2022-07-22,2022-08-19,252,21,0.0,2,0.715126822238067,0.6461599226081558,0.49884396478108184,0.42071479708141996,0.3386282197598076,0.5634863969321533,0.5678458840809247,-0.14113596742935647,-0.41166567855418845,0.20874569339360322,xle(+0.65); be_5y(+0.59); inflsw_5y(+0.57),fx_dxy(+0.61); fx_audusd(-0.60); fx_usdcnh(+0.60),gpr(+0.42); xle(+0.40); fx_usdcad(-0.38),inflsw_5y(+0.20); fx_usdbrl(-0.20); gvz(+0.18),fx_usdclp(+0.45); fx_usdbrl(+0.39); tips_10y(-0.28)
84,2021-07-07,2022-08-22,2022-09-22,252,21,0.0,2,0.7166589356292331,0.652402100717155,0.4929698449336229,0.36205321169625254,0.32788841327174095,0.3810506402003757,0.11824804424554887,-0.04508011654924882,-0.016017520075876635,-0.031323011156142076,xle(+0.67); be_5y(+0.59); inflsw_5y(+0.58),fx_audusd(+0.59); fx_usdcnh(-0.58); fx_dxy(-0.55),xle(+0.38); gpr(+0.35); fx_usdcad(-0.35),fx_eurusd(+0.26); fx_usdcnh(-0.24); fx_dxy(-0.24),fx_usdbrl(+0.53); fx_usdclp(+0.43); fx_audusd(-0.28)
85,2021-08-05,2022-09-23,2022-10-31,252,21,0.0,2,0.6961264891757071,0.6490005187378073,0.44647357083108646,0.368293811130217,0.294586940025093,0.8636051087789806,0.3903448489678181,-0.3315208105922413,0.35102519490583695,-0.21727592565702705,xle(+0.69); be_5y(+0.60); inflsw_5y(+0.58),fx_audusd(+0.56); fx_usdcnh(-0.53); fx_dxy(-0.51),xle(+0.37); hscei(+0.33); fx_usdcad(-0.31),cny_10y(+0.38); fx_usdcnh(-0.33); fx_eurusd(+0.28),fx_usdbrl(+0.36); cny_10y(-0.30); bdti(+0.28)
86,2021-09-07,2022-11-01,2022-11-30,252,21,0.0,2,0.7180458519268507,0.6404135108307304,0.46447774133097686,0.36155401049024055,0.31563452248084195,0.25344392679347283,0.38404180694559287,0.16613508450082384,-0.2827196998624857,-0.5235355302277164,xle(+0.68); be_5y(+0.57); inflsw_5y(+0.56),fx_audusd(+0.58); fx_usdcnh(-0.57); fx_dxy(-0.55),xle(+0.28); ovx(-0.24); fx_usdcnh(+0.23),csi300(+0.30); fx_usdzar(+0.27); fx_eurusd(-0.26),fx_usdbrl(+0.49); fx_usdclp(+0.38); bdti(+0.35)
87,2021-10-19,2022-12-01,2023-01-03,252,21,0.0,3,0.7102134170252754,0.6333800792171311,0.501173419912998,0.35293031310211953,0.30341374036518604,0.6247037009828179,0.23729577070984767,0.18828289674073018,0.13783521398188373,-0.30359693273852173,xle(+0.69); inflsw_5y(+0.56); be_5y(+0.55),fx_audusd(+0.56); fx_dxy(-0.52); mxef(+0.52),xle(+0.31); gpr(+0.24); ovx(-0.23),csi300(+0.30); epu(+0.29); fx_usdzar(+0.28),fx_usdbrl(+0.51); fx_usdclp(+0.41); gvz(+0.35)
88,2021-11-17,2023-01-04,2023-02-13,252,21,0.0,2,0.7201000135908912,0.6287944023553022,0.485437689249014,0.3842793794117269,0.30026669373215004,0.3997997921785593,0.6882395550879614,0.3907465103454147,0.09994209009975531,-0.35509005421863304,xle(+0.71); inflsw_5y(+0.59); be_5y(+0.58),mxef(+0.53); hscei(+0.52); fx_audusd(+0.50),xle(+0.33); ovx(-0.24); move(+0.20),fx_usdzar(+0.38); fx_bbdxy(+0.31); fx_eurusd(-0.31),fx_usdbrl(+0.53); gvz(+0.36); fx_usdclp(+0.36)
89,2021-12-17,2023-02-14,2023-03-15,252,21,0.0,2,0.7134836995550481,0.6482650935884221,0.5169502190191719,0.3916007407218758,0.29490234322889514,0.7257617916708307,0.12756656317484635,0.12954309297390898,0.3286732050323089,-0.12989392404682687,xle(+0.69); fx_usdnok(-0.56); be_5y(+0.54),hscei(+0.55); mxef(+0.52); csi300(+0.49),fx_usdcnh(+0.24); fx_usdclp(+0.23); xle(+0.22),fx_usdzar(+0.33); fx_usdbrl(+0.32); fx_audusd(-0.27),fx_usdbrl(+0.47); gvz(+0.36); fx_usdclp(+0.31)
90,2022-01-24,2023-03-16,2023-04-18,252,21,0.0,4,0.7236038185106963,0.61846634972435,0.5289220397661425,0.4121295079823555,0.2943309791226499,0.2967574394501481,0.1656491533954594,0.16023049968290143,-0.018181960997926946,0.3984009915233316,xle(+0.67); fx_usdnok(-0.59); inflsw_5y(+0.55),hscei(+0.62); mxef(+0.58); csi300(+0.58),xle(+0.29); fx_usdcnh(+0.25); ovx(-0.24),fx_usdzar(+0.42); fx_usdbrl(+0.40); fx_bbdxy(+0.35),fx_usdbrl(+0.34); fx_usdclp(+0.32); gvz(+0.28)
91,2022-03-02,2023-04-19,2023-05-23,252,21,0.0,1,0.7366603916368484,0.6214676911004348,0.5136565647119931,0.4063281440175824,0.32662362647421456,0.3216419676350533,-0.12834631550860245,0.2585433928267858,-0.13185931122808797,0.22084565470515935,xle(+0.65); fx_usdnok(-0.60); fx_audusd(+0.54),hscei(+0.61); mxef(+0.55); shcomp(+0.54),xle(+0.38); ovx(-0.33); fx_usdcnh(+0.32),fx_usdbrl(+0.41); fx_usdzar(+0.39); fx_bbdxy(+0.38),vix(+0.29); fx_usdbrl(+0.28); gvz(+0.28)
92,2022-04-12,2023-05-24,2023-06-27,252,21,0.0,1,0.7669028694361127,0.5778266712980812,0.41505396418909585,0.3881311070054709,0.2872052074583384,0.679400214888104,0.3400165846440282,0.318324409049143,-0.009847290593556176,-0.3212528056691497,fx_usdnok(+0.68); xle(-0.68); fx_audusd(-0.66),fx_usdcnh(+0.47); xle(+0.41); shcomp(-0.36),fx_bbdxy(+0.31); fx_eurusd(-0.31); ust_2y(+0.30),fx_usdclp(+0.43); hy_oas(-0.34); ust_2y(+0.23),tips_5y(+0.32); fx_usdbrl(-0.30); tips_10y(+0.30)
93,2022-05-18,2023-06-28,2023-07-27,252,21,0.0,1,0.7417657005137311,0.5409416693978838,0.4758896591936459,0.387718899329745,0.3006004975540991,0.5813331603185959,0.37753531402892704,0.09477720031895864,0.11174707373070487,-0.14351757253238573,xle(+0.71); fx_bbdxy(-0.64); fx_usdnok(-0.64),fx_usdcnh(+0.50); fx_audusd(-0.49); fx_bbdxy(+0.45),epu(+0.27); shcomp(+0.24); csi300(+0.21),fx_usdbrl(+0.31); fx_usdclp(+0.27); hy_oas(-0.25),bdiy(+0.35); ust_10y(-0.33); ust_5y(-0.31)
94,2022-06-22,2023-07-28,2023-08-25,252,21,0.0,1,0.7453352295360998,0.6113432342599349,0.4826618052639428,0.419557637207175,0.3276091424075986,0.5352609385733278,0.361439281777693,0.29426088361074737,0.29587810527546193,0.40968545147142854,xle(+0.71); fx_usdnok(-0.65); fx_bbdxy(-0.64),fx_usdcnh(+0.47); fx_bbdxy(+0.46); fx_dxy(+0.45),gvz(+0.29); ig_oas(+0.27); fx_usdcad(-0.24),fx_usdbrl(+0.35); vix(-0.27); hy_oas(-0.25),tips_5y(+0.40); ust_5y(+0.40); ust_10y(+0.40)
95,2022-07-22,2023-08-29,2023-09-27,252,21,0.0,1,0.74603527652146,0.5943173546675319,0.48295618882732305,0.4035401718323513,0.3319314955659922,0.41911223423376764,0.4766837983436148,-0.043263144995654625,0.03911454213079881,0.02464535455354553,fx_bbdxy(+0.66); xle(-0.65); fx_usdnok(+0.65),xle(+0.48); ust_2y(+0.42); ust_5y(+0.41),shcomp(+0.36); gvz(-0.33); csi300(+0.33),fx_usdbrl(+0.42); fx_eurusd(+0.24); fx_usdclp(+0.23),tips_5y(+0.35); ust_5y(+0.35); ust_10y(+0.34)
96,2022-08-22,2023-10-09,2023-11-06,252,21,0.0,2,0.7510608437141111,0.6385204462956778,0.48038874337326887,0.3915394147615919,0.3584373247197657,0.19234052124125875,0.0232092689336598,-0.041462066018945476,-0.42119284807132173,0.4828553864230065,fx_bbdxy(+0.66); fx_audusd(-0.64); fx_usdnok(+0.64),xle(+0.45); ust_5y(+0.38); ust_2y(+0.38),gvz(+0.31); shcomp(-0.31); cny_10y(-0.29),fx_usdbrl(+0.36); csi300(+0.31); shcomp(+0.27),tips_10y(+0.47); tips_5y(+0.44); ust_10y(+0.43)
97,2022-09-23,2023-11-07,2023-12-06,252,21,0.0,2,0.760227559627633,0.6417318495234826,0.4844963449542824,0.3843358971975884,0.3617748873067092,0.540067813821096,0.68344017633854,0.3412502233394995,-0.5619814913964203,-0.4619997280553403,fx_bbdxy(+0.74); fx_audusd(-0.72); fx_dxy(+0.71),xle(+0.66); ovx(-0.47); inflsw_5y(+0.41),vix(+0.32); fx_eurusd(+0.32); ust_2y(-0.32),csi300(+0.31); hscei(+0.30); shcomp(+0.29),tips_5y(+0.35); tips_10y(+0.35); ust_10y(+0.33)
98,2022-11-01,2023-12-07,2024-01-09,252,21,0.0,3,0.7374576040139551,0.6417964339132709,0.5232183235950918,0.3564739501327721,0.3433389407384866,0.695137881499586,0.3172850992994389,0.26299140668394627,0.08864797454997447,0.3458731848553188,fx_bbdxy(+0.75); fx_audusd(-0.75); fx_dxy(+0.71),xle(+0.76); ovx(-0.51); inflsw_5y(+0.47),ust_2y(+0.33); vix(-0.33); tips_5y(+0.32),tips_10y(+0.30); tips_5y(+0.30); ust_5y(+0.29),epu(+0.28); fx_eurusd(+0.24); fx_usdnok(-0.22)
99,2022-12-01,2024-01-10,2024-02-20,252,21,0.0,3,0.7509153345306268,0.639935379651773,0.5515146804002006,0.37593540474329823,0.3326534109257508,0.42500638021584886,0.619117111911776,0.01775933783320677,0.08576675370677264,0.25342950379879386,fx_bbdxy(+0.76); fx_dxy(+0.73); fx_audusd(-0.71),xle(+0.76); ovx(-0.55); inflsw_5y(+0.48),tips_5y(+0.34); tips_10y(+0.31); vix(-0.31),cny_10y(+0.32); epu(+0.30); fx_usdbrl(+0.21),ust_5y(+0.27); fx_usdnok(-0.27); tips_5y(+0.26)
100,2023-01-04,2024-02-21,2024-03-20,252,21,0.0,3,0.7044822827807644,0.6312769277664013,0.518289989059337,0.3648784968461897,0.3538605245892507,0.4834850808788868,0.18855356827782452,0.0092561236590863,0.10220081683264298,0.16107167606003958,fx_bbdxy(+0.75); fx_dxy(+0.73); fx_audusd(-0.72),xle(+0.69); hy_oas(-0.49); ig_oas(-0.49),tips_5y(+0.37); ust_2y(+0.32); tips_10y(+0.31),gvz(+0.27); cny_10y(-0.26); tips_10y(+0.25),epu(+0.31); move(+0.26); cny_10y(+0.25)
101,2023-02-14,2024-03-21,2024-04-24,252,21,0.0,3,0.714413026941317,0.6504144907338665,0.5356615646314267,0.37296830832305305,0.3424118027063694,0.4539207491741349,0.5733735338262667,-0.25065988119402816,0.006460918893962645,0.20719385982055497,fx_audusd(+0.76); fx_bbdxy(-0.75); fx_dxy(-0.72),xle(+0.65); hy_oas(-0.51); ust_5y(+0.48),tips_5y(+0.36); ust_2y(+0.32); spx(+0.32),cny_10y(+0.35); fx_usdbrl(-0.30); spx(+0.24),gvz(+0.39); move(+0.30); cny_10y(+0.28)
102,2023-03-16,2024-04-25,2024-05-30,252,21,0.0,2,0.6919569351239818,0.6471709216901796,0.49921085838358426,0.4052561930533296,0.3682475142511046,0.6259931646445349,0.5170498347298206,-0.15410488141466983,0.422954979189999,-0.26946970116515806,fx_audusd(+0.66); fx_bbdxy(-0.66); fx_usdcnh(-0.63),xle(+0.62); hy_oas(-0.55); inflsw_5y(+0.48),tips_5y(+0.29); xle(-0.28); ust_2y(+0.26),ovx(+0.30); gvz(+0.26); fx_usdnok(-0.26),cny_10y(+0.32); tips_10y(-0.28); ust_5y(-0.27)
103,2023-04-19,2024-05-31,2024-07-02,252,21,0.0,2,0.7065444946656039,0.6502729164039982,0.4811188424725575,0.42149762555624337,0.3533393940098094,0.2745137567280312,0.21899845319583663,-0.5357895351789714,-0.5525189797014558,0.08470703827383189,fx_audusd(+0.65); fx_usdcnh(-0.57); fx_usdnok(-0.57),ust_2y(+0.51); ust_5y(+0.47); xle(+0.44),tips_5y(+0.36); ust_2y(+0.34); spx(+0.29),gvz(+0.40); ovx(+0.37); fx_usdnok(-0.30),ig_oas(+0.30); be_5y(+0.27); epu(-0.26)
104,2023-05-24,2024-07-03,2024-08-01,252,21,0.0,2,0.6704187121201157,0.5851610118804986,0.42677251122102416,0.39943462628833537,0.3752016208202863,0.6736469917895541,0.3637101546616076,-0.04248261807110241,0.35976752449614186,-0.0038956874468450303,fx_audusd(+0.74); fx_bbdxy(-0.63); fx_usdclp(-0.62),xle(+0.60); inflsw_5y(+0.49); be_5y(+0.45),fx_usdcnh(+0.34); be_5y(+0.27); be_10y(+0.26),ovx(+0.31); fx_usdbrl(+0.29); gvz(+0.24),mxef(+0.39); gvz(-0.29); csi300(+0.26)
105,2023-06-28,2024-08-02,2024-09-03,252,21,0.0,1,0.705049145229604,0.5687515398187837,0.4427012839833832,0.39963539586129426,0.34533470791805854,0.5508509713572409,0.6110537326063364,-0.4934176159043409,0.2110947870057605,-0.19896173174617668,fx_audusd(+0.74); fx_usdzar(-0.64); fx_bbdxy(-0.64),xle(+0.62); inflsw_5y(+0.45); be_5y(+0.42),ovx(+0.24); fx_usdnok(-0.21); gvz(+0.21),fx_usdcnh(+0.50); fx_usdbrl(+0.30); csi300(-0.29),mxef(+0.32); epu(-0.29); fx_usdbrl(-0.27)
106,2023-07-28,2024-09-04,2024-10-14,252,21,0.0,2,0.6980141145443851,0.5836986932993968,0.4632249967780175,0.3970024350109737,0.35929895026902353,0.4202403860747398,-0.2503931403404957,0.3224906351299335,0.0968871371269733,-0.1812997011053612,fx_audusd(+0.70); fx_usdzar(-0.62); fx_usdclp(-0.60),xle(+0.56); be_5y(+0.51); inflsw_5y(+0.51),fx_usdbrl(+0.37); fx_usdcnh(+0.33); fx_usdnok(+0.32),fx_usdcnh(+0.36); fx_usdbrl(+0.23); xle(-0.22),mxef(+0.38); vix(-0.28); gvz(-0.25)
107,2023-08-29,2024-10-15,2024-11-12,252,21,0.0,1,0.7014087201360889,0.5860994631429747,0.48599026116036154,0.42231876469870866,0.36061660820569974,0.7731211536173994,0.5718503311402977,-0.18577681601284737,0.3725911973493362,0.2809422625473964,fx_audusd(+0.68); fx_usdzar(-0.65); fx_usdclp(-0.65),inflsw_5y(+0.59); be_5y(+0.57); inflsw_10y(+0.54),hscei(+0.29); ust_2y(+0.28); tips_5y(+0.26),xle(+0.33); ovx(-0.27); hscei(+0.25),vix(+0.35); mxef(-0.34); gvz(+0.31)
108,2023-10-09,2024-11-13,2024-12-12,252,21,0.0,2,0.7176236844709067,0.5981734481297635,0.476212088178026,0.4404377253085315,0.3953377565472998,0.33574727789305236,0.46943569595576273,-0.38990246112617516,-0.166189609207919,-0.19643125006737305,fx_usdzar(+0.68); fx_audusd(-0.67); fx_usdclp(+0.63),inflsw_5y(+0.58); be_5y(+0.56); inflsw_10y(+0.55),hscei(+0.44); fx_usdbrl(-0.35); xle(+0.21),spx(+0.26); mxef(+0.26); epu(-0.25),ovx(+0.39); move(-0.26); shcomp(+0.25)
109,2023-11-07,2024-12-13,2025-01-15,252,21,0.0,2,0.7313124230373103,0.6478775687061149,0.4446172036013401,0.3942148982997553,0.36959695372638607,0.407490468850399,0.13002940058857168,0.33827369279614644,-0.371129361795737,-0.32841692556506624,fx_audusd(+0.68); fx_usdzar(-0.67); fx_usdnok(-0.67),inflsw_5y(+0.51); be_5y(+0.49); inflsw_10y(+0.49),hscei(+0.37); fx_usdbrl(-0.31); gvz(-0.31),fx_usdbrl(+0.38); fx_usdnok(+0.20); fx_usdclp(+0.19),epu(+0.37); move(-0.33); ovx(+0.27)
110,2023-12-07,2025-01-16,2025-02-26,252,21,0.0,2,0.7111650596103258,0.6142239285825132,0.4687185310427615,0.388776409045774,0.31314193579725025,0.4167366483397372,0.5323753776503053,0.36507062549677544,-0.05396031143652225,0.20791770143155647,fx_usdzar(+0.67); fx_audusd(-0.65); fx_usdnok(+0.63),inflsw_5y(+0.56); be_5y(+0.55); inflsw_10y(+0.55),epu(+0.39); hscei(+0.38); fx_usdbrl(-0.35),fx_usdbrl(+0.31); gvz(+0.21); fx_usdnok(+0.18),ovx(+0.42); shcomp(+0.33); epu(+0.29)
111,2024-01-10,2025-02-27,2025-03-27,252,21,0.001,1,0.3609238610975016,0.24179926951682945,0.19693353912840073,0.15400481860311876,0.09876043375237865,0.06583641393482485,-0.14296286981151973,0.03453041246217912,-0.14809903864393933,0.0858863115421814,epu(+0.65); vix(+0.54); mxwo(-0.49),gpr(+0.82); epu(+0.40); gvz(+0.31),move(+0.84); ovx(-0.30); ig_oas(+0.21),ovx(+0.86); move(+0.43); hy_oas(+0.33),vix(+0.86); gvz(+0.64); spx(-0.56)
112,2024-02-21,2025-03-28,2025-04-30,252,21,0.0,2,0.7054911052103291,0.6382665185953722,0.44414317725151164,0.3600037658076685,0.31154062475715416,0.5843471776967459,0.16652878675096794,0.0003315202145162725,0.4554321387242742,-0.20147898917664991,fx_usdzar(+0.66); fx_audusd(-0.62); fx_usdclp(+0.58),inflsw_10y(+0.58); inflsw_5y(+0.57); be_10y(+0.56),hscei(+0.38); fx_usdbrl(-0.38); gvz(-0.27),ovx(+0.33); shcomp(+0.29); fx_usdclp(-0.29),fx_usdbrl(+0.48); shcomp(-0.25); csi300(-0.24)
113,2024-03-21,2025-05-06,2025-06-06,252,21,0.0,2,0.7538935942767954,0.6064976473765089,0.43365175548764534,0.39194554724520925,0.2985348778903166,0.24064036765254992,0.6352018536286227,-0.04297816879347877,-0.04667082131277949,-0.050877231350305106,mxef(+0.70); hscei(+0.66); fx_usdzar(-0.57),inflsw_10y(+0.59); be_10y(+0.56); inflsw_5y(+0.54),fx_usdclp(+0.40); shcomp(-0.36); csi300(-0.35),fx_dxy(+0.30); fx_eurusd(-0.26); fx_audusd(-0.25),shcomp(+0.39); csi300(+0.38); fx_usdbrl(-0.36)
114,2024-04-25,2025-06-09,2025-07-10,252,21,0.0,2,0.7560055544316097,0.6361841489567515,0.42405432663031334,0.3802717335635239,0.3197561522739913,0.14623467705536258,0.5432165892456325,0.23388167921790684,-0.38377163692775107,0.1895071566316407,mxef(+0.72); hscei(+0.69); fx_usdzar(-0.57),inflsw_10y(+0.62); be_10y(+0.59); be_5y(+0.57),hscei(+0.36); fx_usdclp(-0.33); shcomp(+0.32),mxwo(+0.29); fx_usdzar(-0.28); hy_oas(-0.27),shcomp(+0.38); csi300(+0.37); fx_usdbrl(-0.34)
115,2024-05-31,2025-07-11,2025-08-08,252,21,0.0,2,0.7505060923715616,0.6423140087309476,0.4430567670825804,0.37415884022018614,0.3146223043845562,0.3285478230002989,0.074371263159843,-0.059747595561889355,-0.029311552001247545,-0.05178297979356492,mxef(+0.71); hscei(+0.69); fx_usdnok(-0.56),inflsw_10y(+0.62); be_10y(+0.60); be_5y(+0.57),fx_usdclp(+0.42); csi300(-0.38); shcomp(-0.38),shcomp(+0.35); fx_usdzar(-0.34); csi300(+0.31),fx_usdbrl(+0.33); fx_audusd(+0.26); ovx(-0.22)
116,2024-07-03,2025-08-11,2025-09-10,252,21,0.0,2,0.7520538151029912,0.6367114384962667,0.44646598501546114,0.39404072090608994,0.2821758329662679,0.5981319658544735,0.4697028194262299,0.125539659078406,0.16324669987074383,0.015724376640535213,mxef(+0.69); hscei(+0.64); ig_oas(-0.59),be_10y(+0.53); be_5y(+0.52); inflsw_10y(+0.52),csi300(+0.46); shcomp(+0.44); hscei(+0.32),shcomp(+0.31); bdti(+0.29); csi300(+0.27),fx_usdbrl(+0.28); gpr(+0.26); ust_2y(-0.25)
117,2024-08-02,2025-09-11,2025-10-20,252,21,0.0,2,0.7500408424405368,0.6574266287390821,0.4577381959234264,0.4137904684089508,0.2951154710457774,0.5083149927504111,-0.04064822326281865,0.5034463748448186,0.3154231256346971,0.04651038800257442,mxef(+0.67); hscei(+0.62); ig_oas(-0.58),be_10y(+0.52); fx_dxy(+0.50); be_5y(+0.50),shcomp(+0.43); csi300(+0.42); fx_usdbrl(-0.31),be_5y(+0.25); shcomp(-0.25); bdti(-0.23),gpr(+0.31); epu(+0.29); ovx(-0.26)
118,2024-09-04,2025-10-21,2025-11-18,252,21,0.0,2,0.7515047018222548,0.6638702259186047,0.4624634637426571,0.4334069193250294,0.3469545268986467,0.32807977448920206,0.047767053647591026,0.6327095594349009,-0.0345632705142391,-0.14567649513134773,mxef(+0.66); hscei(+0.63); ig_oas(-0.53),hscei(+0.47); fx_dxy(-0.46); fx_bbdxy(-0.45),shcomp(+0.37); csi300(+0.37); hy_oas(+0.29),be_5y(+0.31); shcomp(-0.31); inflsw_5y(+0.29),fx_usdcnh(+0.32); ig_oas(-0.27); epu(-0.24)
119,2024-10-15,2025-11-19,2025-12-18,252,21,0.0,1,0.7743084160324423,0.6136000862816547,0.4894108932470171,0.38939324874335235,0.302348273686728,0.45688992326924904,0.33876474726190103,0.23993436817502567,-0.04226662447158395,0.05764299666627801,mxef(+0.61); hscei(+0.61); shcomp(+0.57),fx_usdzar(+0.58); fx_bbdxy(+0.56); fx_dxy(+0.55),shcomp(+0.38); csi300(+0.36); hy_oas(+0.26),bdti(+0.32); fx_usdcnh(+0.29); fx_dxy(+0.22),bdiy(+0.44); epu(+0.35); ig_oas(+0.23)
120,2024-11-13,2025-12-19,2026-01-23,252,21,0.0,1,0.7793275390111838,0.6253105339956057,0.4744794319518453,0.3729520607352976,0.31578057911130364,0.3465263370554285,0.6744183158701088,0.31897050069141,-0.12848290148161337,-0.11525508990597777,xle(+0.57); hscei(+0.56); mxef(+0.56),fx_usdzar(+0.62); fx_bbdxy(+0.54); fx_dxy(+0.52),csi300(+0.39); shcomp(+0.37); hy_oas(+0.26),fx_usdcad(+0.36); bdti(-0.26); fx_usdbrl(+0.22),bdiy(+0.40); epu(+0.26); ig_oas(+0.20)
121,2024-12-13,2026-01-26,2026-03-04,252,21,0.0,2,0.7642744580296803,0.6446055291947715,0.48936847872304245,0.40287677746541317,0.2930667191280718,0.5654270627772241,0.7598557896813252,0.2537553362152614,-0.04171285026262427,0.5383363832471999,xle(+0.62); ig_oas(-0.56); hscei(+0.52),fx_usdzar(+0.66); fx_bbdxy(+0.54); fx_dxy(+0.51),csi300(+0.37); shcomp(+0.32); bdti(-0.28),fx_usdcad(+0.41); fx_usdbrl(+0.30); epu(+0.21),bdiy(+0.26); cny_10y(-0.23); fx_usdclp(-0.21)
122,2025-01-16,2026-03-05,2026-04-02,252,21,0.0,2,0.7523212711333134,0.6804633818010527,0.4854720280556244,0.4374651441583733,0.3433157994694888,0.5591317719344363,0.4505557368843603,-0.04146685154659881,-0.3138343528217487,-0.08786476235996638,xle(+0.65); ig_oas(-0.51); shcomp(+0.49),fx_usdzar(+0.77); csi300(-0.54); fx_bbdxy(+0.52),bdti(+0.39); inflsw_10y(-0.29); inflsw_5y(-0.28),bdiy(+0.35); shcomp(+0.33); ust_2y(-0.30),fx_usdclp(+0.25); bdti(-0.23); ust_10y(-0.21)
123,2025-02-27,2026-04-07,2026-05-11,252,21,0.0,2,0.7621139586269924,0.6897488622593162,0.47216376345217714,0.41695569687911166,0.35246280621118153,0.7242622918053742,0.6334011569629491,0.27663398984157567,0.3302256173942612,0.21166055584631668,xle(+0.58); be_5y(+0.48); inflsw_5y(+0.46),fx_usdzar(+0.74); csi300(-0.64); shcomp(-0.63),gpr(+0.60); inflsw_10y(-0.30); inflsw_5y(-0.27),bdiy(+0.34); tips_5y(-0.30); ust_2y(-0.30),ust_10y(+0.32); ust_5y(+0.32); tips_10y(+0.30)
124,2025-03-28,2026-05-12,2026-06-01,252,14,0.0,2,0.7937121962701198,0.7102265146238805,0.5182815717919075,0.4112138738501455,0.3588209349602751,0.7931466056011677,0.355222004314665,-0.3527166195896131,-0.19085869579742815,-0.22865699160194516,xle(+0.63); be_5y(+0.52); fx_usdclp(+0.51),shcomp(+0.71); csi300(+0.69); hscei(+0.69),gpr(+0.56); bdti(+0.33); bdiy(+0.29),tips_5y(+0.42); ust_2y(+0.40); ust_5y(+0.35),ovx(+0.30); tips_10y(+0.29); ust_10y(+0.27)
