window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
49,2018-04-17,2019-05-21,2019-06-20,252,21,0.0,1,0.771920908161125,0.630849957961063,0.513459949779086,0.42937310862640027,0.330165801775865,0.7766723972121538,0.16555831997698534,-0.26304280046028095,-0.05659476312519506,0.06147756395840584,xle(+0.73); ovx(-0.71); fx_usdcad(-0.56),fx_usdcnh(+0.63); fx_usdzar(+0.48); fx_audusd(-0.46),vix(+0.43); inflsw_5y(-0.39); hy_oas(+0.38),bdiy(+0.34); bdti(-0.27); move(-0.26),bdti(+0.29); fx_usdbrl(+0.28); epu(-0.28)
50,2018-05-21,2019-06-21,2019-07-22,252,21,0.0,1,0.7855044457679432,0.6263310789915036,0.5505908578377872,0.41868648761676674,0.39324653768532203,-0.11027976214177716,0.12688715085485577,0.0023818692777279604,0.1755771992243061,0.27445030999775916,xle(+0.77); ovx(-0.73); mxwo(+0.58),fx_usdcnh(+0.65); fx_usdzar(+0.46); fx_audusd(-0.45),move(+0.55); ust_2y(-0.48); hy_oas(+0.45),bdiy(+0.36); fx_usdbrl(+0.28); ig_oas(+0.27),fx_usdbrl(+0.42); bdti(+0.32); ovx(-0.27)
51,2018-06-21,2019-07-23,2019-08-20,252,21,0.0,3,0.7606527291732028,0.6428797648124414,0.5759837269036089,0.4275135145898929,0.41246935796482675,0.559268296149351,0.5347248651460365,-0.20652637015693698,0.20638493167921995,0.30560602276153936,xle(+0.78); ovx(-0.74); fx_usdcad(-0.59),fx_usdcnh(+0.61); fx_usdzar(+0.51); fx_bbdxy(+0.50),move(+0.55); ust_2y(-0.47); ust_5y(-0.42),fx_usdbrl(+0.52); bdti(+0.37); ovx(-0.24),bdiy(+0.35); ig_oas(+0.29); cny_10y(-0.25)
52,2018-07-23,2019-08-21,2019-09-23,252,21,0.0,1,0.7558207672138754,0.6157461084938513,0.5127541677950764,0.4611310642054185,0.4118594986390609,0.11671515724535872,0.25636372953892383,-0.06506639280869986,-0.07103026582255552,0.17277860181273774,ovx(+0.83); xle(-0.77); inflsw_5y(-0.58),fx_usdzar(+0.64); fx_usdcnh(+0.58); fx_bbdxy(+0.57),move(+0.51); hy_oas(+0.44); ust_2y(-0.44),bdti(+0.35); bdiy(-0.35); ig_oas(-0.31),fx_usdbrl(+0.64); gpr(-0.23); vix(+0.21)
53,2018-08-21,2019-09-24,2019-10-30,252,21,0.0,4,0.7252161997002448,0.6413210898625807,0.5174905324768732,0.4767233422415067,0.33639003355947306,0.5523561703825426,-0.19577214350516642,0.1039463431891283,-0.282329467905455,0.10542755214815001,ovx(+0.75); xle(-0.74); be_5y(-0.61),fx_usdzar(+0.51); fx_bbdxy(+0.50); fx_eurusd(-0.48),ust_2y(+0.47); mxwo(+0.44); move(-0.43),fx_usdbrl(+0.54); fx_usdclp(+0.34); fx_usdzar(+0.34),fx_usdnok(+0.35); fx_dxy(+0.29); ig_oas(-0.27)
54,2018-09-21,2019-10-31,2019-11-29,252,21,0.0,1,0.7335432003107013,0.6020901450273622,0.5163545461558187,0.48021940553233455,0.35357459054082907,0.7614620244322814,0.21759005186140315,-0.11061633387903902,0.08359600963081247,0.3394920565341738,xle(+0.74); ovx(-0.72); inflsw_5y(+0.62),fx_eurusd(+0.48); fx_dxy(-0.47); fx_bbdxy(-0.47),mxwo(+0.44); move(-0.41); ust_2y(+0.41),fx_usdbrl(+0.50); fx_usdnok(+0.45); fx_usdzar(+0.40),fx_dxy(+0.33); fx_eurusd(-0.30); gvz(-0.26)
55,2018-10-30,2019-12-02,2020-01-02,252,21,0.0,1,0.7361605995177484,0.5840962960764793,0.5306735091322579,0.4601294759385977,0.37249284348223693,0.24250698880880642,-0.02957891109956916,0.4052740226488555,0.0978112658468534,0.14305174913177657,xle(+0.76); ovx(-0.70); inflsw_5y(+0.61),fx_bbdxy(+0.51); fx_audusd(-0.50); fx_eurusd(-0.49),ust_5y(+0.45); ust_2y(+0.44); ust_10y(+0.44),tips_5y(+0.38); tips_10y(+0.37); ovx(-0.33),fx_dxy(+0.28); fx_eurusd(-0.28); gvz(-0.28)
56,2018-11-29,2020-01-03,2020-02-13,252,21,0.0,1,0.6909306188387937,0.5662416058770787,0.49457349041905474,0.4720650920301589,0.362004886450514,0.20375779362984067,-0.3882027672048641,-0.11339685485194613,0.354379820593546,-0.17866058547133315,xle(+0.80); inflsw_5y(+0.67); hy_oas(-0.63),fx_audusd(+0.49); fx_usdcnh(-0.45); fx_usdclp(-0.44),tips_5y(+0.58); tips_10y(+0.58); ust_5y(+0.53),fx_usdnok(+0.41); fx_audusd(-0.37); fx_usdbrl(+0.37),gvz(+0.43); fx_dxy(-0.37); fx_eurusd(+0.36)
57,2019-01-03,2020-02-14,2020-03-16,252,21,0.0,1,0.6914073747140549,0.5539259638227554,0.4992730812163474,0.46108883927295913,0.36615667844169963,0.8433153926561386,0.05267164209765912,-0.5194393822099846,0.6684668532612343,-0.45478613562867515,xle(+0.65); shcomp(+0.54); inflsw_5y(+0.50),fx_audusd(+0.47); fx_bbdxy(-0.46); fx_usdcnh(-0.46),tips_10y(+0.63); tips_5y(+0.63); ust_10y(+0.61),ovx(+0.68); ust_2y(-0.36); gvz(+0.35),gvz(+0.40); fx_usdbrl(+0.34); fx_eurusd(+0.32)
58,2019-02-11,2020-03-17,2020-04-17,252,21,0.0,1,0.880113775783003,0.6178171849292161,0.527495265343594,0.45927293196800206,0.39016460105359096,0.47639480944983026,-0.11563562738236426,0.3659281599600013,-0.12245891896529279,0.04226323741197686,ig_oas(+0.90); inflsw_5y(-0.80); be_5y(-0.79),tips_10y(+0.45); ust_10y(+0.44); ust_5y(+0.41),csi300(+0.41); shcomp(+0.41); fx_bbdxy(-0.40),fx_usdclp(+0.46); fx_usdcnh(+0.35); move(+0.31),ust_2y(+0.30); inflsw_10y(+0.29); ust_5y(+0.26)
59,2019-03-13,2020-04-22,2020-05-27,252,21,0.0,1,0.857810304763803,0.6190563151469738,0.5265859507062031,0.5024644227034611,0.42739986050511125,0.19784232416685066,-0.09720834192481698,0.06444313728401184,-0.10278615741295444,0.0434445306997694,xle(+0.73); inflsw_5y(+0.73); mxwo(+0.71),fx_eurusd(+0.59); fx_dxy(-0.55); fx_bbdxy(-0.50),ig_oas(+0.35); fx_usdclp(+0.34); fx_usdcnh(+0.27),tips_5y(+0.37); bdti(+0.36); ust_5y(+0.32),bdiy(+0.29); epu(+0.29); fx_usdnok(-0.24)
60,2019-04-12,2020-05-28,2020-06-29,252,21,0.1,2,0.3876048503909683,0.2681574966255334,0.08749501474252708,0.06071232968089218,0.03814500111778807,0.5808669953293433,-0.1257431772132682,0.009696907336012526,0.5254808239916374,-0.04653460943187812,ovx(+0.75); move(+0.61); mxwo(-0.54),epu(+0.98); ovx(-0.35); gpr(-0.28),gpr(+0.93); epu(+0.15); move(-0.11),gpr(+0.56); move(+0.51); vix(-0.25),ovx(+0.70); vix(-0.34); move(-0.30)
61,2019-05-21,2020-06-30,2020-07-30,252,21,0.0,1,0.8197179334813691,0.5961841427691,0.5123099749541559,0.45630572897521554,0.3871065749997564,0.30203655374217475,-0.038216426009941774,-0.16306150704520775,0.38101815804057787,0.1967818706448805,xle(+0.72); mxwo(+0.71); inflsw_5y(+0.71),fx_eurusd(+0.51); fx_dxy(-0.47); fx_bbdxy(-0.44),ig_oas(+0.33); fx_dxy(+0.27); fx_eurusd(-0.25),bdti(+0.43); tips_5y(+0.31); fx_usdnok(-0.30),epu(+0.34); tips_5y(-0.34); tips_10y(-0.33)
62,2019-06-21,2020-07-31,2020-08-28,252,21,0.0,1,0.8065518423130226,0.5694288394603214,0.49763989184435115,0.4604417902696954,0.39084482833732587,0.6055423490599311,0.4772788780073082,-0.12070760935866419,0.184805649956904,-0.23926570844878592,mxwo(+0.73); inflsw_5y(+0.72); xle(+0.72),fx_eurusd(+0.54); fx_dxy(-0.50); tips_10y(-0.48),ig_oas(+0.33); fx_usdclp(+0.24); gvz(-0.22),bdti(+0.40); fx_usdnok(-0.30); shcomp(+0.30),tips_10y(+0.34); epu(-0.34); tips_5y(+0.31)
63,2019-07-23,2020-09-01,2020-10-12,252,21,0.0,1,0.8121156774238953,0.5686713213756279,0.47830067016174416,0.4658296940695178,0.3869588608420278,0.6292853479094788,0.2809981437730443,-0.018505163153584536,-0.12264070612746089,0.12299568527576646,mxwo(+0.73); inflsw_5y(+0.73); mxef(+0.72),fx_eurusd(+0.54); fx_dxy(-0.50); ust_10y(-0.46),bdti(+0.37); epu(+0.33); fx_usdnok(-0.32),ig_oas(+0.32); shcomp(+0.28); move(+0.27),tips_10y(+0.40); tips_5y(+0.36); ust_10y(+0.33)
64,2019-08-21,2020-10-13,2020-11-10,252,21,0.0,1,0.8086068797487905,0.5756300241625313,0.4625092689798477,0.42741741272567435,0.3863133310001949,-0.16320202701133601,0.48547637831593865,0.2458722340215468,-0.02461448832991191,-0.11414364261927103,mxwo(+0.74); inflsw_5y(+0.74); xle(+0.73),fx_eurusd(+0.56); fx_dxy(-0.52); fx_bbdxy(-0.45),bdti(+0.36); fx_usdcnh(-0.36); csi300(+0.29),move(+0.35); ig_oas(+0.34); ovx(+0.29),tips_10y(+0.38); epu(-0.38); tips_5y(+0.33)
65,2019-09-24,2020-11-11,2020-12-10,252,21,0.001,1,0.5996820704268172,0.2785008699834919,0.19936789276199982,0.08357416299117074,0.07148219922376722,-0.1749926732077346,0.4862289963989555,0.2705359433905031,0.2442879694559196,0.07590375446586159,vix(+0.84); spx(-0.78); mxwo(-0.78),epu(+0.85); gvz(-0.45); gpr(-0.28),move(+0.58); epu(-0.45); ovx(+0.45),gpr(+0.59); ovx(+0.39); vix(-0.29),gvz(+0.60); gpr(-0.52); epu(+0.28)
66,2019-10-31,2020-12-11,2021-01-13,252,21,0.0,1,0.8037488181579854,0.6335969411587957,0.501716532577169,0.4479651142794066,0.39795845799040724,0.38201061794959384,0.3089529488231905,-0.11038431336839215,-0.12824191761505283,0.09455829378857951,mxwo(+0.75); mxef(+0.74); inflsw_5y(+0.73),fx_eurusd(+0.52); fx_dxy(-0.50); fx_bbdxy(-0.43),epu(+0.37); csi300(+0.32); shcomp(+0.32),move(+0.34); tips_5y(-0.33); ust_5y(-0.31),epu(+0.36); fx_dxy(-0.30); tips_10y(-0.29)
67,2019-12-02,2021-01-14,2021-02-26,252,21,0.1,2,0.3977812064939829,0.2643473601660204,0.09581205872809326,0.06738941596947491,0.022062965235031755,0.53662295340031,0.3126829957968369,0.05987997663992543,0.18534008939889612,-0.17826273058715386,ovx(+0.90); move(+0.67); mxwo(-0.58),epu(+0.99); gpr(-0.19); tips_5y(-0.18),gpr(+0.94); move(-0.26); mxef(+0.12),gpr(+0.68); ovx(+0.40); vix(-0.30),gpr(+0.54); gvz(-0.49); epu(-0.44)
68,2020-01-03,2021-03-01,2021-03-29,252,21,0.0,2,0.7908371069000281,0.6568190461822606,0.4774860821418835,0.42961968726934485,0.3720407455029671,0.331871047870135,0.1464080110683234,-0.3272863786183169,-0.123978981219855,0.18658332711308884,mxwo(+0.76); xle(+0.73); inflsw_5y(+0.72),fx_eurusd(+0.54); fx_dxy(-0.52); fx_bbdxy(-0.43),epu(+0.48); ust_2y(-0.36); shcomp(+0.31),bdti(+0.36); tips_10y(+0.32); tips_5y(+0.31),fx_usdbrl(+0.26); epu(+0.23); move(-0.22)
69,2020-02-14,2021-03-30,2021-04-29,252,21,0.0,1,0.8018660832533524,0.6231434815502184,0.4482539467706283,0.43368228639815765,0.37922505334769463,0.3507358050021285,0.41093190793452067,0.02755097846373514,0.3455448080550947,0.019835930944646765,mxwo(+0.81); xle(+0.77); fx_usdnok(-0.75),fx_eurusd(+0.65); fx_dxy(-0.64); fx_bbdxy(-0.54),fx_usdzar(+0.27); cny_10y(-0.23); epu(+0.23),bdti(+0.37); fx_usdbrl(+0.36); move(-0.30),epu(+0.43); ust_2y(-0.31); bdti(+0.26)
70,2020-03-17,2021-04-30,2021-06-03,252,21,0.0,2,0.7332769796355704,0.6041927445957779,0.43334165557160487,0.4017036551145237,0.3123610915328002,0.5101414594477836,0.39437338598975974,0.2507888328926144,-0.15008404868364927,0.24722900391030492,fx_usdnok(+0.80); fx_audusd(-0.75); fx_usdcad(+0.74),fx_eurusd(+0.41); xle(-0.37); fx_dxy(-0.34),tips_5y(+0.36); ust_5y(+0.35); fx_usdbrl(+0.33),epu(+0.50); inflsw_10y(+0.30); ust_2y(-0.30),csi300(+0.50); shcomp(+0.43); hscei(+0.41)
