horizon,phi_spanned,phi_weak,boot_lo_spanned,boot_hi_spanned,boot_lo_weak,boot_hi_weak,v_full
1,-2.2029128421944698e-06,-6.63538668004468e-06,-3.7192298347626455e-06,-1.0011062002466845e-06,-8.191140019824403e-06,-5.199308862390235e-06,-8.83829952223915e-06
5,-1.2070711089013611e-05,-3.161513323291572e-05,-2.321296042109413e-05,-4.005976608962957e-06,-4.014324599898614e-05,-2.379444537630905e-05,-4.3685844321929334e-05
21,-4.856853201887397e-05,-0.00013315435210247296,-0.00011124618814570283,-1.0492142523750511e-05,-0.00017807142527588842,-9.243275262274779e-05,-0.00018172288412134693
63,-0.0002962288690161914,-0.0007142570106784644,-0.0006593796801855379,-6.326801017997687e-05,-0.0013070669110080342,-0.0002917817359339554,-0.0010104858796946559
