horizon,n_origins,n_nonoverlap,r2_vs_ar1,r2_vs_mean,r2_vs_zero,r2_ar1_vs_zero,cw_stat,cw_p,cw_nonoverlap_p,v_full,v_full_boot_lo,v_full_boot_hi,beats_zero
1,2617,2617,-0.026526073471171197,-0.03153042187156396,-0.03512648455826395,-0.008378171104812537,0.24361675201386251,0.4037638264518949,0.4087164102701405,-8.83829952223915e-06,-1.1485707960473705e-05,-6.639409745200749e-06,False
5,2613,523,-0.026056099633036345,-0.039784134920064274,-0.0584983990114063,-0.03161844599917374,-0.07300714593991825,0.5290997844748421,0.47906959574066044,-4.3685844321929334e-05,-5.935593778148077e-05,-3.118532995246123e-05,False
21,2597,124,-0.024521020034453445,-0.1211108464031363,-0.20904630464242402,-0.18010883232221553,-0.9317476275962959,0.8242665168482439,0.7624922536823684,-0.00018172288412134693,-0.00027382082718137665,-0.00011160052146550705,False
63,2555,41,-0.02350603749777247,-0.8919623775870686,-1.479702960715867,-1.422753623201039,-1.5794793904477702,0.9428869299479894,0.25553451865652,-0.0010104858796946559,-0.0019588338192038,-0.0003839136972219341,False
