rank,median_abs_cos,q10_abs_cos,q90_abs_cos,null_med_abs_cos,null_p95,chance_abs_cos,p_value,median_rho_oos,frac_windows_rho_oos_ge_0.3,stability_class,macro_stable
V1,0.819760251953707,0.5420820848445271,0.9479383844855762,0.11296581150871791,0.1152339070796492,0.13117141378257083,0.004975124378109453,0.5343880753415177,0.832,stable,True
V2,0.6046196258243526,0.16040367962257532,0.8373728679752837,0.11456251502244347,0.11729609527631855,0.13117141378257083,0.004975124378109453,0.3172850992994389,0.528,partial,False
V3,0.28025861700114857,0.05001934718356039,0.6635607219480336,0.11934234758660092,0.12159796843039075,0.13117141378257083,0.004975124378109453,0.20019068450942973,0.28,weak,False
V4,0.2143167184353859,0.03958593950035081,0.5229586153403905,0.11644244685520572,0.11883293741529673,0.13117141378257083,0.004975124378109453,0.184805649956904,0.296,weak,False
V5,0.1912806554286734,0.033801495743695044,0.4805895645437307,0.11432673304321918,0.11697241951922333,0.13117141378257083,0.004975124378109453,0.17071935999665563,0.224,weak,False
