dim,phi_std_weighted,phi_raw_pooled,phi_excl_Aluminium
cv1,-2.0382277511885645e-07,-4.3072918530837087e-07,-2.0672392991026703e-07
cv2,-4.789371301561164e-07,-8.429399611894222e-07,-4.445555319748846e-07
cv3,-1.694771435132292e-07,-1.271913069666867e-07,-2.3529307176184156e-07
cv4,2.0563968591099823e-07,6.14680019692587e-07,1.8610749164229743e-07
cv5,-5.977124223602064e-07,-8.91629869642919e-07,-5.86785091327418e-07
