seed,phi_raw_f1,phi_raw_f2,phi_raw_f3,phi_raw_f4,phi_raw_f5
0,-2.2374145004745474e-07,-2.5483336654895104e-07,-1.4923255795660752e-07,-1.9130009744394488e-07,2.996985737574313e-07
1,-2.9583264359916175e-07,-1.7678765700074106e-07,-2.5340076779086017e-07,-7.928988725429872e-08,1.1219325558636674e-06
2,-1.080155251351435e-07,1.1779211393500824e-07,-1.7633516705237602e-08,-2.261922198009473e-07,-2.1810184414498718e-07
