horizon,effective_n,n_nonoverlap,r2_oos_vs_ar1,r2_oos_vs_zero,cw_p_overlap,cw_p_nonoverlap,cw_placebo_p,loco_max_p,v_full_std,v_full_boot_lo,v_full_boot_hi,phi_spanned,phi_weak,spanned_placebo_hi,spanned_outside_band,retained_share_spanned,retained_share_all,sub_cw_p_all,gate_passed
1,1148,1148,-0.0031012272566666166,-0.0025327679901370193,0.32804495407632017,0.334744050626971,0.26732673267326734,0.43622887964907964,-1.2443097852374101e-06,-2.6179257795622096e-06,3.9085678498623494e-08,-2.2185465587499847e-07,-1.0224551293624116e-06,8.961156188478176e-08,False,0.8930492265250519,0.48750619506686244,0.00769681690349,False
5,229,230,-0.004812163403794978,-0.009201120127345863,0.996494582096984,0.7641619754728166,1.0,0.9994192671115668,-9.286734368858969e-06,-1.2625273477998805e-05,-6.105179041602979e-06,-1.8461027119072394e-06,-7.44063165695173e-06,5.138967281136877e-07,False,1.0764789546185822,0.5676624526008632,0.02673792483447668,False
21,54,55,-0.003379034833469907,-0.018381070134107613,0.6902518884220905,0.37695130042967073,0.6336633663366337,0.7836760234474788,-2.416989273084768e-05,-4.2964633527993626e-05,-8.234720108216847e-06,-8.554311698461773e-06,-1.5615581032385906e-05,4.268867655208134e-06,False,1.5373978089083453,1.3417679145564925,0.15166968444880968,False
63,18,19,-0.0020947250103318105,-0.04946028860877205,0.08789761595896695,0.048345882831205444,0.19801980198019803,0.15765260793926372,-4.523100311652414e-05,-8.743826076059977e-05,-2.4613548332376633e-06,-1.1530941804506825e-05,-3.370006131201732e-05,2.377101485525994e-05,False,0.8843575352081015,-5.8680288448939315,0.0005740156641554917,False
