group,phi,placebo_lo,placebo_hi,outside_band
spanned,-2.2185465587499847e-07,-3.950483030778205e-07,8.961156188478176e-08,False
weak,-1.0224551293624116e-06,-9.793643071589691e-07,-5.2157825426896694e-08,True
