dim,phi_no_controls,phi_vol_mom_controls
V1,-2.0382277511885645e-07,-2.0517985333619048e-07
V2,-4.789371301561164e-07,-5.04239664420883e-07
V3,-1.694771435132292e-07,-1.6272740379802635e-07
V4,2.0563968591099823e-07,2.1115936861713397e-07
V5,-5.977124223602064e-07,-6.176911798142838e-07
