horizon,commodity,stale,zero_return_frac,mse_full,mse_ar1,mse_mean,mse_zero,r2_oos_vs_ar1,r2_oos_vs_mean,r2_oos_vs_zero,cw_stat,cw_p,cw_fdr10_reject
1,Coffee,False,0.009059233449477353,0.0006085601500740717,0.000604432092372669,0.0006041173709342531,0.0006040523431690685,-0.006829646793237387,-0.007354165520762956,-0.0074626097489396415,-1.2239499428070795,0.8895144442109693,False
1,SoybeanOil,False,0.012195121951219513,0.00042585545260715325,0.0004245599521184345,0.0004258048858792812,0.00042562273266206655,-0.003051395880027119,-0.00011875563092145214,-0.0005467751772354479,-0.6501076682180755,0.7421886618357367,False
1,Corn,False,0.0156794425087108,0.00034315868812943173,0.0003408175529314685,0.0003402869028450282,0.00033999178879921593,-0.00686917436565837,-0.00843930595151754,-0.009314634748682105,-1.1657032869131232,0.8781327846103877,False
1,Cotton,False,0.0031358885017421603,0.000364455861588791,0.0003633969156574786,0.00036568580378797176,0.0003655154403321589,-0.002914020140750262,0.003363385142218678,0.0028988617892721225,-0.4605937158496674,0.6774549394969562,False
1,HRWWheat,False,0.01602787456445993,0.0004621865885214772,0.000459459953108192,0.00045908677261511597,0.00045887615157955857,-0.0059344354058277204,-0.006752135089198141,-0.007214227478423929,-0.6477548484547216,0.7414282385513487,False
1,LeanHogs,False,0.01289198606271777,0.0006185751499810915,0.000615913225152899,0.0006161738139773702,0.0006158932038125524,-0.004321915359962736,-0.003897173085335659,-0.004354563667754441,-0.01824219202944728,0.5072771780719043,False
1,LiveCattle,False,0.015331010452961672,0.00010238372586456466,0.00010193630490492719,0.00010174175973535552,0.00010183304797854654,-0.004389220896860779,-0.00630976042560083,-0.00540765396842624,-1.50186342563273,0.9334338080151483,False
1,Soybeans,False,0.010801393728222997,0.00021682320761901613,0.0002165850523431793,0.00021624482100257797,0.00021613025895794442,-0.0010995923922738626,-0.002674684247958359,-0.0032061621746659608,0.7652835228057936,0.22205136676959958,False
1,Sugar,False,0.017421602787456445,0.00031208542341866697,0.00031209965421728184,0.00031211235201799664,0.0003119892366988297,4.559697014261399e-05,8.627854410625524e-05,-0.00030830140441717724,1.476373150835205,0.06992187317321086,False
1,Brent,False,0.003484320557491289,0.000660230652875899,0.0006592998204120692,0.0006591871906602579,0.000658907849044768,-0.0014118500187789707,-0.0015829528098019185,-0.0020075703044799553,1.1152916794717351,0.1323627249059388,False
1,NaturalGas,False,0.0027874564459930314,0.003115098975863893,0.003112088627215307,0.003137188981173756,0.003135800650756741,-0.0009673081358481106,0.007041337146861393,0.006601719049918575,-0.08073713731408781,0.5321744990487012,False
1,WTI,False,0.004181184668989547,0.000746748292419967,0.000744803421055337,0.0007446310893397915,0.0007443724629880919,-0.002611254607120639,-0.00284329127602323,-0.0031917212820287144,1.2760114536503262,0.1009757351448951,False
1,Gasoline,False,0.0003484320557491289,0.0006941220647920884,0.0006936905155292153,0.0006933519609811342,0.000693106913030072,-0.000622106333029393,-0.001110696809546008,-0.001464639499234588,0.8047648672365602,0.21047768952168955,False
1,HeatingOil,False,0.0006968641114982578,0.0008500867873611381,0.0008469685017397548,0.0008452132326428626,0.0008448920112219429,-0.0036817019936137285,-0.00576606533127344,-0.006148449825773783,0.006663008375072518,0.49734186391282276,False
1,Gold,False,0.0031358885017421603,0.00014323792416069496,0.000142512773904819,0.0001426679360805033,0.00014301356148421385,-0.005088317601342096,-0.003995208004341055,-0.0015688209855948543,-0.5240192660478128,0.6998674301036223,False
