horizon,phi_spanned,phi_weak,boot_lo_spanned,boot_hi_spanned,boot_lo_weak,boot_hi_weak,v_spanned,v_weak,v_full,interaction
1,-2.2185465587499847e-07,-1.0224551293624116e-06,-7.438745047976539e-07,2.419377047998323e-07,-2.357492869057074e-06,3.152276045173419e-07,-1.2040685901137157e-07,-9.210073324987847e-07,-1.2443097852374101e-06,-2.028955937272538e-07
5,-1.8461027119072394e-06,-7.44063165695173e-06,-3.139748388903248e-06,-5.809988804968473e-07,-1.055196436863837e-05,-4.7643358922365564e-06,-1.8093838938472353e-06,-7.4039128388917255e-06,-9.286734368858969e-06,-7.343763612000821e-08
21,-8.554311698461773e-06,-1.5615581032385906e-05,-1.8856681449081165e-05,1.167347849243977e-06,-2.9758533953081066e-05,-4.8209238892395795e-06,-8.729260696610855e-06,-1.5790530030534988e-05,-2.416989273084768e-05,3.498979962981638e-07
