seed,n_spanned,v_full_std,phi_spanned,phi_weak,max_angle_factor_space_deg,max_angle_spanned_plane_deg
0,1,-5.194088982394727e-07,2.2946966253268837e-07,-7.48878560772161e-07,0.0,2.091309789151873e-06
1,1,3.1662160021865993e-07,4.337844988997212e-07,-1.1716289868106129e-07,89.3188853429274,10.011343106844645
2,1,-4.5215099185130737e-07,2.133403056418402e-07,-6.654912974931476e-07,82.01111947653776,10.950315261409044
