horizon,arm,substituted_dims,v_full_std,retained_share_vs_none,cw_p,n_origins
1,none,-,-1.4157622473975244e-06,1.0,0.3519656022731509,1081
1,only_cv1,1,-1.2643453799817284e-06,0.8930492265250519,0.15993992055197215,1081
1,only_cv2,2,-2.6331131420761524e-07,0.185985545731028,0.007189007960114124,1081
1,only_cv3,3,-1.7600959623930443e-06,1.2432143642963212,0.4336150688263277,1081
1,only_cv4,4,-1.9148552414725807e-06,1.3525259943839416,0.7549648062352508,1081
1,only_cv5,5,-8.084817912077692e-07,0.5710576000270756,0.07352407610658651,1081
1,spanned_block,1,-1.2643453799817284e-06,0.8930492265250519,0.15993992055197215,1081
1,weak_block,2.3.4.5,-5.930124787100811e-07,0.4188644525591536,0.007865425490888533,1081
1,all,1.2.3.4.5,-6.901928663480771e-07,0.48750619506686244,0.00769681690349,1081
5,none,-,-1.0246481639969874e-05,1.0,0.9958218832677247,1081
5,only_cv1,1,-1.1030121844313266e-05,1.0764789546185822,0.9934621690992845,1081
5,only_cv2,2,-8.308452586607788e-06,0.8108590712931015,0.7276315460396934,1081
5,only_cv3,3,-1.0010008442962008e-05,0.9769215223999015,0.9786658154932238,1081
5,only_cv4,4,-7.9745850584843e-06,0.7782754450441534,0.8802665930131304,1081
5,only_cv5,5,-9.35529188399219e-06,0.9130248033138227,0.8986920471408253,1081
5,spanned_block,1,-1.1030121844313266e-05,1.0764789546185822,0.9934621690992845,1081
5,weak_block,2.3.4.5,-4.726065152990027e-06,0.4612378491514988,0.01891759522340808,1081
5,all,1.2.3.4.5,-5.816542898275014e-06,0.5676624526008632,0.02673792483447668,1081
21,none,-,-2.4961774451425292e-05,1.0,0.6650509166997802,1081
21,only_cv1,1,-3.837617734808556e-05,1.5373978089083453,0.6359826916124522,1081
21,only_cv2,2,-2.1347246425274836e-05,0.8551974727123588,0.3673329927479261,1081
21,only_cv3,3,-2.6734287169221174e-05,1.0710090831581356,0.6242916690454209,1081
21,only_cv4,4,-2.372823778344548e-05,0.9505829735630282,0.5582939602862359,1081
21,only_cv5,5,-2.0900958946272995e-05,0.837318636419278,0.18533928131032662,1081
21,spanned_block,1,-3.837617734808556e-05,1.5373978089083453,0.6359826916124522,1081
21,weak_block,2.3.4.5,-1.785769332803694e-05,0.7154015978626584,0.10497781973556886,1081
21,all,1.2.3.4.5,-3.349290804931845e-05,1.3417679145564925,0.15166968444880968,1081
63,none,-,-3.872107239262165e-05,1.0,0.054498260402922716,1081
63,only_cv1,1,-3.424327214175335e-05,0.8843575352081015,0.017671884591217157,1081
63,only_cv2,2,-4.7456956240667786e-05,1.225610586387343,0.054842353532338906,1081
63,only_cv3,3,-3.929895377985035e-05,1.0149242092617976,0.03841686476475126,1081
63,only_cv4,4,-9.72411750077562e-06,0.251132442876984,0.009708726727636785,1081
63,only_cv5,5,0.00021091365172408102,-5.446999235596349,0.00014481946464395268,1081
63,spanned_block,1,-3.424327214175335e-05,0.8843575352081015,0.017671884591217157,1081
63,weak_block,2.3.4.5,0.0002299812452618566,-5.9394337772958945,0.0004053893438945577,1081
63,all,1.2.3.4.5,0.00022721636970512993,-5.8680288448939315,0.0005740156641554917,1081
