dim,phi,placebo_lo,placebo_hi,placebo_abs_p95,placebo_p_right,placebo_p_left,outside_band
cv1,-2.0382277511885645e-07,-3.9474390013379485e-07,8.981149031477908e-08,3.547474401883805e-07,0.7524752475247525,0.25742574257425743,False
cv2,-4.789371301561164e-07,-3.828093696268046e-07,1.0650063138325497e-07,3.356060556423627e-07,1.0,0.009900990099009901,True
cv3,-1.694771435132292e-07,-3.2192357341799324e-07,8.18303519416686e-08,3.1195279012548004e-07,0.6237623762376238,0.38613861386138615,False
cv4,2.0563968591099823e-07,-3.428580428218289e-07,1.0057934337011059e-07,3.2229992087784467e-07,0.009900990099009901,1.0,True
cv5,-5.977124223602064e-07,-3.778099403770793e-07,1.4256145003056984e-07,3.5042172245968556e-07,1.0,0.009900990099009901,True
