dropped,cw_stat,cw_p
Aluminium,0.16053740434650338,0.43622887964907964
Zinc,0.21104758353089556,0.41642507059269496
Brent,0.2864251668259542,0.38727625071439997
Sugar,0.32864183734966534,0.3712132106742573
WTI,0.3368229537593849,0.36812518426313634
Soybeans,0.3472120596768726,0.3642160057327969
Copper,0.35510933391975513,0.3612538421587128
Nickel,0.3747822621820547,0.35391120354899985
Gasoline,0.3825057666784727,0.3510431261652889
LeanHogs,0.4511659951195379,0.3259349579694675
NaturalGas,0.4517215829468023,0.3257347838849184
LiveCattle,0.48766381528802233,0.3128939929968656
HeatingOil,0.48910344737666117,0.312384230471221
Cotton,0.5000546941366951,0.3085182830801828
HRWWheat,0.5225533918393824,0.3006425410606781
SoybeanOil,0.5534265015533223,0.28998569801769525
Gold,0.5540253597650941,0.28978074513439545
Coffee,0.5612641414246727,0.28730874142131313
Platinum,0.5914788530175485,0.2770998100880131
Corn,0.6204908023588473,0.2674673537903316
Silver,0.7129698337156741,0.23793221209177196
