year,n_days,phi_V1,phi_V2,phi_V3,phi_V4,phi_V5
2021,155,-2.6342413319569883e-07,-3.6680548637353107e-07,4.97206363196633e-07,-4.049651059120626e-08,-5.086388870164002e-07
2022,222,-1.614406159368514e-06,-1.2256859850018193e-06,-5.803333897828647e-07,9.173677832436481e-07,-7.368646176021383e-07
2023,226,2.053504157925673e-08,-5.340422483125741e-08,-1.2766020021362709e-07,-1.885940611725905e-07,-3.483419420241699e-08
2024,227,1.270252525642416e-07,-8.947305386915516e-08,-2.909139509710872e-08,-7.408908039827907e-07,2.640602966777154e-07
2025,227,4.959560674911718e-07,-1.725255334320962e-07,-3.939442195666382e-07,4.339127964478709e-08,-4.3316730220327956e-07
2026,91,2.107987158153667e-07,-1.640875299249312e-06,-1.9684005208650778e-07,2.6335200059024665e-06,-4.368033737694883e-06
-1,1085,-2.6102403711496833e-07,-4.894994993659402e-07,-1.9151478122948047e-07,2.3707584297149563e-07,-5.881736174334444e-07
