horizon,n_origins,effective_n,n_nonoverlap,hac_lags,r2_pool_std_vs_ar1,r2_pool_std_vs_mean,r2_pool_std_vs_zero,r2_pool_raw_vs_ar1,r2_ar1_vs_zero,cw_pool_stat,cw_pool_p,cw_nonoverlap_stat,cw_nonoverlap_p,n_cw_fdr10,utility_gain_ann,sharpe_diff_ann,v_full_std,v_full_boot_lo,v_full_boot_hi,cw_placebo_p,cw_loco_max_p,gate_passed
1,1148,1148,1148,5,-0.0031012272566666166,-0.002345848436940523,-0.0025327679901370193,-0.0028196372872706377,0.000566701795475022,0.4453180739936234,0.32804495407632017,0.42685066497587004,0.334744050626971,0,-0.08506973138680693,-0.1837936294429952,-1.2443097852374101e-06,-2.6179257795622096e-06,3.9085678498623494e-08,0.26732673267326734,0.43622887964907964,False
5,1148,229,230,10,-0.004812163403794978,-0.008474793440341521,-0.009201120127345863,-0.005181018070546051,-0.004367937494589302,-2.696329121655778,0.996494582096984,-0.7197546864716848,0.7641619754728166,0,-0.04718954737649526,-0.22682304591823982,-9.286734368858969e-06,-1.2625273477998805e-05,-6.105179041602979e-06,1.0,0.9994192671115668,False
21,1148,54,55,42,-0.003379034833469907,-0.017567806006707265,-0.018381070134107613,-0.0050761155974470284,-0.014951513615318435,-0.49656445638335833,0.6902518884220905,0.31349765651136235,0.37695130042967073,0,-0.009372060572880987,0.04177095860824971,-2.416989273084768e-05,-4.2964633527993626e-05,-8.234720108216847e-06,0.6336633663366337,0.7836760234474788,False
63,1148,18,19,126,-0.0020947250103318105,-0.04688549883533066,-0.04946028860877205,-0.0005040428761169391,-0.047266553167368386,1.3538155482874976,0.08789761595896695,1.6611079620808475,0.048345882831205444,0,-0.00031491195931635657,0.06889517793518925,-4.523100311652414e-05,-8.743826076059977e-05,-2.4613548332376633e-06,0.19801980198019803,0.15765260793926372,False
