dim,rho_train,rho_cv_train,perm_p_train,rho_oos_frozen,loading_cosine_oos,spanned,top_loadings_train
V1,0.7395128090319903,0.6906509171194457,0.004975124378109453,0.5867119894842658,0.9347788274827017,True,xle(+0.82); inflsw_5y(+0.68); be_5y(+0.67); fx_usdcad(-0.67)
V2,0.5195101767582352,0.43768840660729486,0.004975124378109453,0.5169774286206631,0.9530390621176077,False,fx_audusd(+0.62); fx_bbdxy(-0.60); fx_dxy(-0.60); fx_usdclp(-0.50)
V3,0.354120722060856,0.27191274210578054,0.004975124378109453,0.13234543697354553,0.7963800579014693,False,tips_5y(+0.66); ust_5y(+0.66); ust_10y(+0.64); tips_10y(+0.60)
V4,0.22481514034618966,0.13917912168502575,0.004975124378109453,0.08999889628330068,0.10828502891299266,False,fx_usdbrl(+0.66); ig_oas(-0.23); fx_usdzar(+0.20); inflsw_10y(+0.19)
V5,0.15771183897232563,-0.0013839792069122476,0.5174129353233831,0.008514459059090701,0.4716559232140506,False,bdiy(+0.31); ig_oas(-0.29); ovx(-0.27); epu(-0.27)
