date,fx_dxy,fx_bbdxy,fx_eurusd,fx_usdcnh,fx_audusd,fx_usdbrl,fx_usdclp,fx_usdcad,fx_usdnok,fx_usdzar,ust_10y,ust_5y,ust_2y,tips_10y,tips_5y,be_10y,be_5y,inflsw_5y,inflsw_10y,cny_10y,hy_oas,ig_oas,vix,move,ovx,gvz,spx,mxwo,mxef,csi300,shcomp,hscei,xle,bdiy,bdti,gpr,epu,regime
2023-11-15,0.003271817816,0.001511982144,-0.002853594241,0.0008407357622,0.0003073140774,0,-0.004226482467,-0.0007305669524,-0.00564902967,-0.002389710554,0.0841,0.0788,0.0758,0.061,0.065,0.0237,0.0142,0.0097,0.023,0.002,-0.06,-0.01,0.02,-1.92,1.22,-0.75,0.001595807677,0.003984142812,0.02511160815,0.007007655278,0.005470811447,0.03939776962,-0.001889466788,0.01552269974,-0.005965714934,201.48,68.82,R8
2023-11-16,-0.000431152189,-0.0002798242722,0.0003686635986,-0.001364830332,-0.006009726077,0.0007397209945,-0.007348817697,0.005248207979,0.01054416998,0.01049404505,-0.0959,-0.0986,-0.0743,-0.075,-0.069,-0.0222,-0.0304,-0.0292,-0.0207,-0.008,0.11,-0.01,0.14,-6.11,3.02,0.06,0.001189641384,-0.0007363584885,-0.001281947107,-0.009719267385,-0.00715543715,-0.01420697027,-0.01969624998,0.04063240309,-0.0007482230054,201.48,149.23,R8
2023-11-17,-0.004148546758,-0.004439679045,0.005788595205,-0.004341220699,0.006931102064,0.008447326343,0.004246290881,-0.002329137089,-0.01175553476,-0.000767720914,-0.0001,0.0221,0.048,0.005,0.004,-0.0059,0.0182,0.015,-0.0063,-0.002,-0.03,-0.03,-0.52,-2.97,-2.1,-0.07,0.001281275599,0.004091852394,-0.005850627021,-0.001201608451,0.001126563947,-0.02352734445,0.0207595143,0.03465970183,-0.01432365235,201.48,168.58,R8
2023-11-20,-0.004620104189,-0.004257808714,0.002287806992,-0.006951907091,0.006425970705,-0.01134769761,-0.01039280161,0.0001457301081,-0.009762796971,-0.0009972834392,-0.0156,-0.002,0.0254,-0.039,-0.028,0.0238,0.0258,0.0288,0.0233,0.006,-0.06,-0.01,-0.39,1.98,-1.43,-0.38,0.007363133891,0.006574237335,0.009062566804,0.002309505407,0.004558139587,0.02134077136,0.00141592944,-0.001649711675,-0.005329285548,201.48,42.9,R8
2023-11-21,0.001227035511,0.0003870905356,-0.002654342321,-0.003410158299,-0.0001525203999,0.009186416309,-0.006552217625,-0.001750164525,-0.002076397169,0.01615498586,-0.0272,-0.0389,-0.0386,0.025,0.022,-0.0524,-0.0606,-0.0595,-0.0508,0.007,0.03,0,-0.06,-2.3,-0.48,1.5,-0.002022988791,-0.00166867935,0.003100494915,0.001327299671,-0.0001258096964,-0.004379313748,-0.002242815082,-0.01162481953,-0.03653729384,201.48,295.43,R8
2023-11-22,0.003421937455,0.002809974434,-0.002110189324,0.002712302085,-0.001984884994,0.001855723194,0.005444108322,-0.001022345642,0.006969709633,0.01315387674,0.0116,0.0311,0.0273,-0.001,0.015,0.0151,0.0161,0.013,0.0115,0.017,-0.06,-0.03,-0.5,-1.22,4.24,-0.74,0.004052866465,0.001628743513,-0.004938982794,-0.01028710256,-0.007959405481,-0.0003028432727,-0.0004728132476,-0.02309311296,-0.01837846375,201.48,65.95,R8
2023-11-23,0,-0.00127115934,0.001560134304,-0.001411156754,0.002289902535,-0.000917234907,0.001439161423,0.0006573421703,0.001662927786,-0.003819592765,0,0,0,0,0,0,0,0,-0.001,0.018,0,0,-0.05,0,0,0,0,0.001323688561,0.004544355788,0.004812884153,0.005976628589,0.01570851452,0,0.05541583914,-0.005661155435,201.48,15.44,R8
2023-12-01,-0.002215075991,-0.003873826624,-0.0003674444282,-0.003041326512,0.01054226631,-0.00748807351,-0.01648522743,-0.004730587579,-0.01303338191,-0.01079287191,-0.1308,-0.1432,-0.1418,-0.109,-0.13,-0.0186,-0.0137,-0.0195,-0.0268,-0.003,0.04,0.01,-0.29,-3.81,-3.7,2.74,0.005856541701,0.005629655736,-0.00503748704,-0.003817126662,0.0006477148974,-0.01649194339,0.005188690886,0.08325902737,-0.01018684531,94.81,38.37,R8
2023-12-04,0.004290276172,0.004785510357,-0.004419896698,0.003475047636,-0.008273834337,0.01263791661,0.0167496454,0.002959238677,0.01627457651,0.007961957299,0.0573,0.0835,0.0969,0.072,0.093,-0.0144,-0.0095,-0.0145,-0.016,0.009,-0.07,0,0.45,6.74,2.38,0.17,-0.005423166555,-0.004651178842,-0.001936424743,-0.006550487054,-0.002881140971,-0.01018756205,-0.004597709249,0.04711792298,-0.0008536065392,194.86,51.19,R8
2023-12-05,0.003253725881,0.002311785897,-0.003605606458,0.003407253478,-0.0103250234,-0.003281480825,0.01188381694,0.004054707166,0.007293402161,0.008052085122,-0.088,-0.0716,-0.0586,-0.073,-0.053,-0.0185,-0.0189,-0.0155,-0.018,-0.001,0,0.01,-0.23,8.95,-1.72,-1.67,-0.0005691170959,-0.00111408469,-0.00841077146,-0.01922328103,-0.0168865487,-0.01656545108,-0.01764260804,-0.06258784475,0.001706485056,89.69,328.17,R8
2023-12-06,0.0009894190612,0.0009730560757,-0.0030610849,0.0001115169089,-0.0004579803149,-0.005309584962,-0.008922518233,7.356998348e-05,0.004711433921,0.0004009073219,-0.0609,-0.0315,0.0162,-0.026,0.01,-0.0377,-0.0417,-0.0445,-0.042,0.005,-0.01,0,0.12,-2.22,3.36,-0.06,-0.003913779111,-0.0007412064798,0.003030289785,0.001572007989,-0.001132089121,0.009631468293,-0.01502512211,-0.09856076427,-0.005128216367,131.24,88.12,R8
