macro,block,dim1,dim2,dim3,dim4,dim5
fx_dxy,overall,-0.19529854537248026,0.6843913409278459,-0.014678993788469277,-0.19170163590000378,0.026493610925858405
fx_bbdxy,overall,-0.30530177149279886,0.6876161429474252,-0.024314916775304476,-0.17980571539483808,-0.07148978860932143
fx_eurusd,overall,0.1438168846018904,-0.5689822776576856,-0.00518095175765454,0.14156117906092383,-0.056596960397824664
fx_usdcnh,overall,-0.28411571385947554,0.5087635255486005,0.09789780870104624,-0.22460900159050615,0.06356704141796721
fx_audusd,overall,0.46515826171878505,-0.6574132501961106,0.1116775691409465,-0.06574752849415985,-0.061824335842922504
fx_usdbrl,overall,-0.34340977216358437,0.2844335381960144,-0.21507906320925513,0.16001511556360262,-0.5217827324621463
fx_usdclp,overall,-0.34521917506654076,0.5224787295355007,-0.010758678754778832,0.08090465034823151,0.062254322402412667
fx_usdcad,overall,-0.5914634113300338,0.3262044377434187,-0.0903771970313048,-0.083531255243129,-0.029904861989334796
fx_usdnok,overall,-0.5692510150940862,0.43676800120610826,0.08355212511478428,-0.09636234564163886,0.004234628506861598
fx_usdzar,overall,-0.3596162122345506,0.5286917181917405,0.1067721340620848,0.06560273206361454,0.005426806389840348
ust_10y,overall,0.2592746226659528,0.4130622160861876,-0.1502364647580398,-0.13660060460331527,-0.04767918939715896
ust_5y,overall,0.21686291523999474,0.4213087088506395,-0.1579563611270766,-0.14115566715963768,-0.020786259969801858
ust_2y,overall,0.17254866222984072,0.3908141926989452,-0.10242800633790551,-0.13500268625353176,-0.029287200178259958
tips_10y,overall,-0.04837032059069317,0.41866618992222204,-0.10134443164444547,-0.01966667447741519,0.0009066820712447629
tips_5y,overall,-0.22889491921324046,0.35858081776246364,-0.11899550998126451,-0.07142865351211064,-0.02404261803840163
be_10y,overall,0.5683914545050377,0.055353069442756274,-0.1071497833219263,-0.2117075784385063,-0.09714208734037555
be_5y,overall,0.6706506565159991,0.09474998398340655,-0.059548852309457785,-0.09776080271647869,-0.041774515502495786
inflsw_5y,overall,0.662012481286068,0.1154658040955836,-0.09081372688678724,-0.15589164670804956,0.025068042624128782
inflsw_10y,overall,0.5697392236457599,0.07153445593948375,-0.16384708875367032,-0.24322767140785834,-0.098837662484967
cny_10y,overall,0.13814106367151016,0.01761454158718485,-0.02112585293588813,0.028982516142488243,0.12900533154489172
hy_oas,overall,-0.4801747783340854,0.005386184972744593,0.37288173455145374,0.25219230182095587,0.08667987224934504
ig_oas,overall,-0.37175359940672525,0.053562170291094946,0.4873852218435506,-0.07072948264532405,-0.04062990416457954
vix,overall,-0.36341375252989416,0.051237916030954345,0.25998049375797894,0.1319060549440358,0.03074857666225828
move,overall,-0.22558555429931682,0.11426185814072706,0.26565913593217516,-0.158432411222811,0.2315591662511414
ovx,overall,-0.3763443181140957,-0.02908581252036417,0.1458983478972754,0.08784915734304426,-0.12606905281912162
gvz,overall,-0.16736972586690774,-0.10240522632946232,0.2927244065200943,0.2975840708901835,-0.012755550301880744
spx,overall,0.42846737747818453,-0.11199039331803512,-0.18685656284416355,-0.03220041674644559,-0.06829825193343539
mxwo,overall,0.49569140592842975,-0.258479883811504,-0.23370390478085698,-0.04347968596243865,-0.07232042178954126
mxef,overall,0.42348951664192674,-0.4163171242744413,-0.23153566994368308,-0.370634792101721,-0.06770261987650271
csi300,overall,0.2612946998204838,-0.1930685308473699,-0.06694477154337804,-0.2897276350632414,-0.08525984015301274
shcomp,overall,0.2715221570381955,-0.1959759332184758,-0.053811301162691116,-0.22368136234777747,-0.07087271850340951
hscei,overall,0.2440037636472579,-0.2575537499889231,-0.0774846676029916,-0.31035934183026065,-0.28127353411705436
xle,overall,0.8507524577718707,0.16161876698048827,-0.03851672923070448,0.05124638352328837,-0.07566613577148164
bdiy,overall,0.0362846056386059,0.08601684313189774,-0.1135789178970695,-0.12848071738900366,-0.09706912238411924
bdti,overall,0.0022698650279802594,0.05682481794514774,0.07079911205955093,0.01355112160135806,-0.0614827618738674
gpr,overall,0.017318791899573492,0.047003388794624776,0.3622230738275904,-0.11661091611485729,-0.21006538615350134
epu,overall,0.08095833503324562,0.0028218540243073764,0.49404544831826186,0.07728502125949151,-0.09471955576370657
fx_dxy,agriculture,-0.33428978865160114,0.0988338282343206,-0.18177516595480067,,
fx_bbdxy,agriculture,-0.4702948224827406,0.058146349608123024,-0.17831947578231974,,
fx_eurusd,agriculture,0.2794072943495029,-0.05565449853861721,0.08930909764493751,,
fx_usdcnh,agriculture,-0.3521109044405015,0.23056155927155747,-0.3379166080750851,,
fx_audusd,agriculture,0.5837875154600222,-0.0036045823404499966,0.13530473329872575,,
fx_usdbrl,agriculture,-0.7200643256664155,0.20412017219675127,0.13837874316854754,,
fx_usdclp,agriculture,-0.45218131332025613,0.10603975192204826,-0.2785684716205623,,
fx_usdcad,agriculture,-0.6323711782868819,-0.08403946135009031,-0.2703936095834977,,
fx_usdnok,agriculture,-0.5551716745331678,-0.10953373936359571,-0.2989233113037057,,
fx_usdzar,agriculture,-0.4657858773351832,-0.00493539978279455,-0.09376118119953128,,
ust_10y,agriculture,0.1623775597865832,0.20885192209397568,0.06412613826755492,,
ust_5y,agriculture,0.13119488847707958,0.19491224332437102,0.023827933135444884,,
ust_2y,agriculture,0.12228959815082312,0.2629390476843703,-0.05507674193183405,,
tips_10y,agriculture,-0.08047698580907056,0.07085391665043629,0.0663745692955291,,
tips_5y,agriculture,-0.22534332934161877,0.018784504713611466,0.05407585927603453,,
be_10y,agriculture,0.44023538844012156,0.2765531938681945,0.0033100345836998323,,
be_5y,agriculture,0.5279831148197491,0.2640400785650307,-0.05128665768089136,,
inflsw_5y,agriculture,0.5023901400013147,0.2304337686289536,0.05722898502270056,,
inflsw_10y,agriculture,0.39869865289173906,0.24780781739196217,0.12668854831566576,,
cny_10y,agriculture,0.12953038612868328,-0.10924925654781152,0.004698976599975345,,
hy_oas,agriculture,-0.3428189689839547,-0.41874412520655674,-0.2618010835282274,,
ig_oas,agriculture,-0.21987174703263362,-0.3671333443190126,-0.43410125605899125,,
vix,agriculture,-0.3107133285049072,-0.3487393309532008,-0.11552722006441017,,
move,agriculture,-0.10826633304368619,-0.24987008580924677,-0.10901492755072242,,
ovx,agriculture,-0.23383649965341316,-0.38449914638218097,-0.0737066526809126,,
gvz,agriculture,-0.1613568313866584,-0.1376402837663006,-0.09637185437529308,,
spx,agriculture,0.3167625116885848,0.526732861094616,0.21531682569733182,,
mxwo,agriculture,0.4047574846172144,0.5139566607245748,0.21017019115936544,,
mxef,agriculture,0.4447774149885252,0.15193826910486047,0.18584732506108478,,
csi300,agriculture,0.27440549778666906,0.0002869975924968706,0.04049473339524294,,
shcomp,agriculture,0.2926919654234333,-0.0200788889652941,0.028438780109798067,,
hscei,agriculture,0.2403801653205816,-0.04886172870486248,0.24654857715557604,,
xle,agriculture,0.6145682300346921,0.5272366873564099,0.3806862498307336,,
bdiy,agriculture,-0.04382552374847586,-0.19520422327857176,0.1331499440481646,,
bdti,agriculture,-0.049567438150379665,-0.14787257342647925,0.10454428295696078,,
gpr,agriculture,-0.026472741054808544,0.1756649611918614,0.08060487025571264,,
epu,agriculture,0.08185791495584827,0.16141097925753514,-0.09606110144967214,,
fx_dxy,energy,-0.06280822865290576,0.033193820781072025,-0.015781906573026822,,
fx_bbdxy,energy,-0.18215761149169707,0.012291586696491037,-0.027174599373615806,,
fx_eurusd,energy,0.025981943126369755,0.0043193385373891235,-0.013376694224228882,,
fx_usdcnh,energy,-0.09291485109646375,0.11032713059258119,0.09653126365437746,,
fx_audusd,energy,0.289618622953693,-0.039679241358402166,0.04832597911830585,,
fx_usdbrl,energy,-0.2387181914447136,0.08683489759645696,0.1282524467983634,,
fx_usdclp,energy,-0.13745499269116623,-0.002466331309020566,-0.12761063722264832,,
fx_usdcad,energy,-0.45361407296068423,0.10312338239732603,-0.04263287020593399,,
fx_usdnok,energy,-0.4054306685687584,0.06271799882669855,-0.020409226510065527,,
fx_usdzar,energy,-0.23572864156399168,0.010047795045001693,0.09105110047465144,,
ust_10y,energy,0.24774992005735688,0.2621462600325938,-0.050967681285963976,,
ust_5y,energy,0.2093755284703902,0.219564292872736,-0.022353487214042164,,
ust_2y,energy,0.16440348029790613,0.16686974178277855,0.010125664907141098,,
tips_10y,energy,-0.023389177600558496,0.14232477572118118,-0.06656918444208806,,
tips_5y,energy,-0.20622721548378903,0.10067212988954476,-0.0555822463064045,,
be_10y,energy,0.5065179612287907,0.250145374609677,0.017040778008506768,,
be_5y,energy,0.6324200556150831,0.17372921052222834,0.07290241951352848,,
inflsw_5y,energy,0.637846944063824,0.2383242625691838,0.00748505711589886,,
inflsw_10y,energy,0.5443691170689801,0.296300891948384,-0.04635946518311555,,
cny_10y,energy,0.1483442701011611,0.17495354885563708,0.050273738464565225,,
hy_oas,energy,-0.5320045208516655,-0.48437464131509816,-0.16450752224101203,,
ig_oas,energy,-0.46399826245014575,-0.46682417728552467,-0.17508659159034934,,
vix,energy,-0.35611040798563887,-0.387549220207027,0.0025400535926193447,,
move,energy,-0.15702140432023726,-0.2657719451948133,0.04217267510849477,,
ovx,energy,-0.1650250793584396,-0.4332353548156326,-0.0789150912387369,,
gvz,energy,-0.20689023824839545,-0.30101715589468353,0.15719225462433892,,
spx,energy,0.47176859459171044,0.36294730156298644,0.13786953777666286,,
mxwo,energy,0.49923582141741435,0.40024799913118514,0.1536232192911217,,
mxef,energy,0.31837861331219036,0.18911391258088567,0.06432628754997535,,
csi300,energy,0.1318843771970327,0.05530882687205732,0.12002573097138755,,
shcomp,energy,0.14836791324033513,0.0380928297026491,0.10759249042733207,,
hscei,energy,0.11060206153965077,0.05376374459388774,0.07714291245990942,,
xle,energy,0.8686098255509648,-0.08158132779555782,0.036058125050496964,,
bdiy,energy,0.08888960390596808,0.10709794171113739,-0.0341019766646808,,
bdti,energy,0.10782967946236194,-0.03144268108490137,0.08910853755418278,,
gpr,energy,0.00022427836002035333,-0.1742219314422469,0.6197313467990675,,
epu,energy,-0.034857843562635084,0.060552630061249495,0.632282919177414,,
fx_dxy,metals,0.6140890923911485,0.24571810487214044,0.0861570671585352,,
fx_bbdxy,metals,0.6808413650759806,0.21790809201268707,0.11814172697573094,,
fx_eurusd,metals,-0.4952488609029099,-0.21442275742085187,-0.04144104131929108,,
fx_usdcnh,metals,0.596655871736017,-0.04884956754604096,0.03113650416102758,,
fx_audusd,metals,-0.7981464923233175,-0.07979960780186027,0.01805090292919285,,
fx_usdbrl,metals,0.3979098506587838,-0.025810801985883796,0.02287589266023342,,
fx_usdclp,metals,0.6532538801288553,0.03284569799020034,-0.10642685163096445,,
fx_usdcad,metals,0.6144087057060572,0.06195784086557292,0.036112272563879104,,
fx_usdnok,metals,0.6777596573506656,0.13434581272207982,0.10529670978604631,,
fx_usdzar,metals,0.6280129827242603,0.10507489506802113,0.06117654051295971,,
ust_10y,metals,0.09660612825338508,0.22882802452745257,0.3588978476490563,,
ust_5y,metals,0.12781849103989484,0.24016250566462127,0.3266362895619627,,
ust_2y,metals,0.14876059042178302,0.19564570955608346,0.27109246198873743,,
tips_10y,metals,0.2887335328520101,0.20969620375449963,0.3373463051379453,,
tips_5y,metals,0.3468769440693525,0.22674393783435023,0.25734656039055637,,
be_10y,metals,-0.3131068001190473,0.07125214717781103,0.08759241716139754,,
be_5y,metals,-0.33190018521056774,0.020695033154363763,0.12418136218465084,,
inflsw_5y,metals,-0.31362411029946746,0.0017453532240532007,-0.016185160474133563,,
inflsw_10y,metals,-0.29681708678612356,0.016573116372907037,-0.0007610572857905582,,
cny_10y,metals,-0.07491155426899314,0.1367915981911841,-0.022786534853207276,,
hy_oas,metals,0.35051190537100274,-0.09256944111935095,-0.09873423340845247,,
ig_oas,metals,0.2743043487179607,0.012072785964167752,0.03685627208171425,,
vix,metals,0.2726445669354408,0.008901468574952862,0.1493719931410729,,
move,metals,0.221712153308542,0.13172159988212642,-0.10152233542424803,,
ovx,metals,0.16303250560741397,0.12659593671033628,0.10338238226552139,,
gvz,metals,0.03697961996185214,0.48486254620245256,-0.4091879505800345,,
spx,metals,-0.36518124846056743,0.026620435064578615,-0.02380641024331447,,
mxwo,metals,-0.5228937722444661,-0.01351912206795314,-0.003574706352778756,,
mxef,metals,-0.6195091174626075,-0.05829006601635195,0.023554470723677834,,
csi300,metals,-0.3497487209056759,0.054201926442780546,-0.077692656359308,,
shcomp,metals,-0.3557377717026748,0.060711948840474934,-0.04955534025933034,,
hscei,metals,-0.40499778852534984,-0.024718223984595635,0.0544027337841338,,
xle,metals,-0.40550220187940367,0.05479846967629444,0.15948813991853347,,
bdiy,metals,0.005309504025424957,0.031761270674367646,0.16637618891927677,,
bdti,metals,0.0359018004854567,0.18110133371600495,-0.02306025455854003,,
gpr,metals,-0.03585800385778751,0.31689076549804407,0.32313868570244836,,
epu,metals,-0.08554267142049014,0.6616851284505165,0.034764834430735914,,
