date,F1,F2,F3,F4,F5,F6
2013-10-21,0.0076252744,-0.06984728,0.05415909,0.0063945404,0.07148296,-0.1155088
2013-10-22,0.11896968,-0.13561165,0.2916809,0.4136258,0.16964719,-0.27153057
2013-10-23,-0.063247904,-0.08844381,-0.21961081,-1.139983,-0.052494854,0.03997532
2013-10-24,0.042877126,-0.13889416,0.0027500093,0.0076408605,0.16014571,-0.12427332
2013-10-25,-0.013677727,-0.013561673,-0.08223475,-0.0049305204,0.0068683783,0.021942731
2013-10-28,-0.025212182,0.053394523,-0.18894266,0.22301649,0.10295815,0.061580792
2013-10-29,-0.049228426,0.03182916,-0.07028914,-0.16664241,-0.03610436,0.037858978
2013-10-30,0.042145047,-0.030575432,0.1618308,0.57106143,0.041753344,-0.06715262
2013-10-31,-0.16469598,0.06527035,-0.47316587,-1.0081176,-0.15602668,0.26530847
2013-11-01,-0.009395327,-0.15906948,-0.13813451,-0.97404546,0.038732305,-0.04366046
2013-11-04,-0.054277513,-0.08959235,-0.18904692,-0.6068343,-0.0003458828,0.002467945
2013-11-05,-0.05695665,-0.050197825,-0.16486044,-0.33042538,-0.0009362082,0.038606107
2013-11-06,0.023339564,-0.04832988,-0.051787373,0.063987434,0.03690334,-0.045238707
2013-11-07,-0.040579967,-0.060880702,-0.1532009,-0.46114638,-0.017643897,0.04515074
2013-11-08,-0.10406541,0.21029583,-0.23123957,0.11250286,-0.19332905,0.24830297
2013-11-11,-0.09164182,0.10527272,-0.0694135,0.15987882,-0.103419036,0.08401527
2013-11-12,-0.06737318,-0.004221626,-0.21778376,-0.3857057,-0.084358595,0.08964184
2013-11-13,-0.07435959,0.10343494,-0.21127668,-0.18603745,-0.06852904,0.12868355
2013-11-14,0.01860181,-0.07667506,0.08084687,0.24799196,0.105705544,-0.124257766
2013-11-15,-0.050461162,-0.09950432,-0.15118319,-0.059238818,0.06795312,-0.0046939924
2013-11-18,-0.11421868,0.002836297,-0.39394453,-0.69505274,-0.0820325,0.1884612
2013-11-19,0.05765059,-0.02156939,0.10583816,0.008462843,0.012674478,-0.06688256
2013-11-20,-0.14679673,0.12324617,-0.2586108,-0.05670863,-0.13931446,0.23067732
2013-11-21,-0.06800543,0.2640086,0.010725323,0.6920961,-0.17453086,0.20659775
2013-11-22,0.009347619,0.066367604,-0.002256456,0.23593315,-0.085415184,0.027604181
2013-11-25,-0.047925588,-0.016122362,-0.056122903,-0.102929436,-0.055975076,-0.021649368
2013-11-26,-0.05206413,-0.038667712,-0.1763277,-0.12495143,-0.02109035,0.05174487
2013-11-27,-0.09752163,-0.032069135,-0.22293341,-0.49420455,-0.069355,0.1136949
2013-11-29,0.110450976,-0.08165215,0.2070532,0.5634595,0.0706559,-0.1673254
