activation,n_spanned,rho_oos_min,rho_oos_mean,perm_p_min,perm_p_mean,ridge
relu,2,-0.00031980945359963707,0.29123424425028743,0.04295704295704296,0.000999000999000999,0.0
tanh,2,0.02614780597675976,0.3088074804778891,0.000999000999000999,0.000999000999000999,0.0
linear,2,0.10063036409776063,0.31045653463104117,0.000999000999000999,0.000999000999000999,0.0
