regime,T,rho_min,rho_mean,null_min_p95,perm_p_min,low_power
R1,134,0.11243618449460314,0.26559113415296876,0.1651793170710267,0.405189620758483,True
R2,355,0.10134736567783248,0.3104260287621171,0.09428561317166546,0.015968063872255488,False
R3,579,0.0626388061103946,0.2829186341756245,0.0786845193515716,0.21357285429141717,False
R4,285,0.11814245321967777,0.36413688997562527,0.10200121886557689,0.00998003992015968,False
R5,186,0.11082111987448857,0.40817196264571853,0.1439590326253521,0.18962075848303392,True
R6,308,0.135841761602819,0.32353879516070844,0.10439981088705194,0.011976047904191617,False
R7,295,0.07401518614704651,0.30764356218516803,0.10394638968618053,0.4311377245508982,False
R8,245,0.07416506441040845,0.29777084826854816,0.10907439836063147,0.5189620758483033,True
R9,304,0.15082648410488322,0.3762099663211419,0.10033158575353658,0.001996007984031936,False
