date,V1,V2,V3,V4,V5
2013-11-01,-1.1357278171773255,-0.38560304763149916,0.008469878024261196,0.7453677896617781,0.03878210126159247
2013-11-04,-0.4556968262305528,0.19803600065165045,-0.44349667798114517,0.42661676360512096,-0.26307146966000855
2013-11-05,-0.2893478606517181,0.0998025045353732,-0.5618357864146502,-0.02650861140431237,-0.31798422334298293
2013-11-06,0.05942790593719124,-0.29363602188845106,-1.001471715692133,-0.45252883586478726,-0.4111702446029141
2013-11-07,-0.36489644556474105,0.1687406727695791,-0.3432618647123772,-0.3550482545601838,-0.1231034299449708
2013-11-08,0.6911752383264246,1.713130538900515,-0.6796122707219612,-0.5918589243095481,0.2786394147310006
2013-11-11,0.3022305952199972,0.706849183542613,-0.7225126604715905,-0.06972525468797398,0.7020441122970741
2013-11-12,-0.33278453611286196,0.44340058949947936,-0.25631436448189937,0.07681589683096277,0.44071489499870553
2013-11-13,0.14967650513821898,0.8850936133888757,-0.5766078338669752,0.1262554918231836,0.49936691574152364
2013-11-14,0.22563333261846277,-0.5423533266110346,-1.0160601839689376,0.5838556062093904,0.12386772869570506
2013-11-15,-0.19485805466599956,-0.3844559176070371,-0.8399186259191547,0.31217619879467995,0.16564425205404235
2013-11-18,-0.3868153445919292,1.0832481173812931,-0.14090200864379024,-0.40875788560084775,-1.1764739217611726
2013-11-19,-0.14179466550088174,-0.5563330283735166,-0.7552727526467963,-0.27936054266196736,0.5484139535590198
2013-11-20,0.30294553698866966,1.2385266274477231,-0.5363084029201445,0.017835291729611524,0.6616034288974881
2013-11-21,0.8262226360475419,0.7927291494750954,0.4931635315951023,-1.3581149007725402,0.4812001528286681
2013-11-22,0.4499610574639154,0.45033128781106985,-0.9761220406857605,-0.41002986762935045,-0.23081212840439297
2013-12-02,0.03606179437191858,2.0177741757820784,-0.20140463298861702,0.821101261659381,0.2878604173911045
2013-12-03,0.22658704874076055,0.4671494426768231,-0.685920889434051,0.1141546693266419,1.209606319194415
2013-12-04,0.5090963504276829,-1.6014690672259309,-0.024376772444066688,1.4325804162556297,-0.08332869099117937
2013-12-06,0.13777377597910076,1.0621803054614867,-0.4776822989805973,-0.13001295830532328,0.27195973290957154
2013-12-09,-0.03668954713560827,-0.7875132571667512,-0.763150663158642,0.11070431673105557,0.7251821236538841
2013-12-10,0.12508755402461288,-1.6591062996070762,-0.2388065151891155,0.9600621284801286,0.48703223976012716
2013-12-11,0.4457835015336602,0.09235816082889048,-0.6403745954923624,-0.12633007100713006,0.179004989958138
2013-12-12,-0.5155377992943998,1.6947462517996066,-0.026167921638929774,1.64346537714323,-0.1085346249179593
2013-12-13,-0.029844561366891294,-0.6716874145439069,-1.0980073717806,-0.37293951474239745,-0.504280503348197
2013-12-16,0.5325659339809278,-0.4147093820709592,-0.10670182417529268,0.12469457316649238,0.21571971196028697
2013-12-18,-0.14272712096217138,0.49171758119787723,-0.547721815898565,0.07031606499484284,-0.16414042270911008
2013-12-19,0.46916323998429926,2.8119214746911116,-0.04316967516349279,0.7957730381528594,1.7439916853543904
2013-12-20,0.6995955105122781,-0.8511588857701113,0.6113235346870264,0.26402318681248926,0.2514205374178209
2013-12-23,-0.35442280745111543,0.2047097603426711,-0.5194794262817153,0.9090770399568331,0.4487568669567151
2014-01-02,-1.1071976419350478,-1.8487192709893072,9.736104797729799e-05,-1.445964367828464,0.6130756859181704
