lag,rho_mean
-5,0.15250349899748186
-4,0.14294678370521346
-3,0.15756057613003138
-2,0.1514790948283619
-1,0.19201891468115115
0,0.35152811947968693
1,0.1847195655141755
2,0.15407290357955947
3,0.15189975774858713
4,0.15184269261033131
5,0.14582602994800015
