date,U1,U2,U3,U4,U5
2013-11-01,-0.3934621359967285,1.5736314496838366,0.0759915257225901,-1.0218508892483833,0.41549628170603203
2013-11-04,0.21742409101527754,-0.20538918528483174,-0.3438412817438872,1.0318332953172715,-0.044916706778784024
2013-11-05,-0.3530730368069112,0.4997207173379607,-0.8168979054938392,0.09168593271606443,-0.9673312234613755
2013-11-06,0.6040134253765159,-0.5101665322386821,-0.05587344440204242,0.6315283365908223,0.39881090207362174
2013-11-07,-0.7167281382956284,0.3458137444627149,-0.7591179175558849,0.15314457297628684,0.3240748554055861
2013-11-08,-0.03055340373692393,2.264017420529063,-0.08030254011011798,1.4899255084845997,0.310870363729985
2013-11-11,0.09903664945067368,0.39024207444153947,0.16897576900607542,1.37301046899153,-0.07764018181155635
2013-11-12,-0.3363929540444926,0.26242760422955347,-1.1263135336954981,0.061546033817841725,0.35311618959518964
2013-11-13,0.1825503209448364,-0.2955588599456398,0.5109121062282156,0.7260118945927181,-0.6459794570578284
2013-11-14,0.5325371694826087,-0.5080392615274675,-0.5067404487404956,-0.5147240434269843,1.5717096141593043
2013-11-15,0.2837742791245105,-0.2448132836847886,-0.5930265506308854,-0.934707368327916,-0.22658718103920591
2013-11-18,0.21300785978152306,-0.915009054377066,1.0700686524430125,-0.2894919660943289,1.090773373408473
2013-11-19,-0.08818163004892801,-0.10123767348603373,-0.24733495527363245,-0.7069175780753394,-0.47416191087167653
2013-11-20,0.05371902329386733,1.2541436108369923,0.02817940221011921,1.102555545197864,0.40958592241583414
2013-11-21,-0.20603359246964917,0.8691497495675217,-1.2251614851383648,1.543613118622528,-0.9303589650226409
2013-11-22,-0.37934027236986373,-0.13110733506743122,-0.9911336475472862,-0.6456282529265536,-0.3324348500735807
2013-12-02,0.11344156454638392,0.6484856186632258,-0.05079723907256344,0.534275911762853,-0.44877632893596703
2013-12-03,0.14485799138070624,0.23145143833183057,-0.009128353463405287,-0.06017368313081629,-0.3955511773887248
2013-12-04,-0.5674277510253325,1.4351828108479836,-1.4948747618938147,0.4160392772694569,0.7027270099631804
2013-12-06,-0.3651755183594706,0.1298096400353347,-1.2228120801204831,-0.3568335337460125,0.16882632582388504
2013-12-09,0.02618561668296806,-0.8970782505332652,-0.518759132152,-0.1374884321152024,0.6474703025209315
2013-12-10,0.3293098163717373,-0.3107159884176492,-0.5349476615102778,-0.029266271759918482,2.3322991762885246
2013-12-11,-0.40483176861561604,0.9082584657882122,-2.149154692057899,0.3152135368092849,0.05466767951277551
2013-12-12,-0.16886789600552332,1.1861034355672966,-0.5101824454823582,0.7426667158211472,0.2215064923355477
2013-12-13,0.03467886499864242,-0.3953054738041655,-0.032963067245066986,0.19760711103438097,-0.2851203326007048
