dim,rho_insample,rho_oos,null_mean,null_p95,perm_p,perm_p_insample,boot_lo,boot_hi,kcca_insample,kcca_null_p95,kcca_perm_p
dim1,0.6871500419000849,0.6340150928626389,-0.003317981501088386,0.04768206214652637,0.000999000999000999,0.000999000999000999,0.6574502691036104,0.7377176931018523,0.7545543827845593,0.27136344888893743,0.004975124378109453
dim2,0.5125331467211478,0.44268099465838107,-0.0014595563418376982,0.04367290273679213,0.000999000999000999,0.000999000999000999,0.4947559462960077,0.5706025159647516,0.713045668053555,0.24336050835960915,0.004975124378109453
dim3,0.25979414925658784,0.03830675051569467,0.0015468907831591254,0.04386680102627556,0.07992007992007992,0.000999000999000999,0.23637040727772027,0.3934821011700053,0.6656596716286544,0.23077547432209072,0.004975124378109453
dim4,0.1631620930926457,0.0009664986112291329,-0.000648232910990907,0.04290891377317289,0.46053946053946054,0.000999000999000999,0.18188863733409574,0.25563257929396155,0.5949855392085375,0.2221622710276472,0.004975124378109453
dim5,0.1350011664279684,0.06172762295233897,8.783449909039769e-05,0.04242651514409126,0.004995004995004995,0.000999000999000999,0.13764213313347176,0.20558480928485132,0.5827525243968263,0.21538075467304982,0.004975124378109453
