date,F1,F2,F3,F4
2013-10-21,0.27647665,0.1499611,0.0478184,0.3112949
2013-10-22,0.50060457,0.54100513,0.8242439,0.6189106
2013-10-23,0.41075584,-0.89381784,-1.1971265,-0.4701514
2013-10-24,-0.09172526,-0.04147216,0.6546232,0.38508716
2013-10-25,-0.5411301,-0.05553931,0.09233693,0.25583228
2013-10-28,-1.1885179,-0.4045026,1.1235777,-0.022958022
2013-10-29,-0.09868443,-0.030442571,-0.6139559,-0.040721565
2013-10-30,0.20371643,0.56013066,0.5226377,0.13309555
2013-10-31,-1.0136492,-1.1767001,-1.2127646,-0.33967984
2013-11-01,0.4016907,-0.83158714,-0.21010457,0.12194635
2013-11-04,0.08684577,-0.85766125,-0.033780083,-0.61298174
2013-11-05,-0.28809154,-0.3478957,-0.18896255,0.15933013
2013-11-06,0.007943801,-0.16457565,0.4047043,-0.42199886
2013-11-07,0.26173133,-0.2736691,-0.6195325,-0.029625209
2013-11-08,-0.6251738,0.13142976,-1.1563643,-0.41724712
2013-11-11,-0.30147803,0.023585565,-0.48826593,-0.6076317
2013-11-12,-0.015513039,-0.30026403,-0.8453757,-0.14691739
2013-11-13,-0.50463015,-0.41618288,-0.43765822,-0.58068013
2013-11-14,0.3475651,-0.13643748,0.89680433,-0.77841955
2013-11-15,-0.72701144,-0.23249048,0.5517102,0.48442805
2013-11-18,-0.5124485,-1.0797801,-0.4015167,-0.5595003
2013-11-19,0.048912846,0.2579153,-0.14227678,0.3319026
2013-11-20,-0.703374,-0.21998702,-0.72042394,-0.40677625
2013-11-21,-0.42700318,0.6362166,-0.7793237,-0.73777336
2013-11-22,-0.16491383,0.35652742,-0.5704044,0.13180183
2013-11-25,0.27638605,0.0618122,-0.57856745,-0.07973726
2013-11-26,-0.22212104,-0.32309434,-0.029153597,-0.2667056
2013-11-27,-0.28404352,-0.648153,-0.5042781,-0.35356596
2013-11-29,0.61174923,0.78959554,0.14619315,0.3090635
2013-12-02,-1.2807846,-0.7400732,-0.9465373,-0.28251618
2013-12-03,-0.2590926,-0.05320005,-0.33238912,-0.6924842
2013-12-04,0.7149369,1.1049412,0.83574295,0.47701237
2013-12-06,-0.80888546,-0.12802584,-0.9299865,0.21748842
2013-12-09,0.49074453,0.7172383,-0.38914478,0.6991026
2013-12-10,0.5561273,0.4768313,1.181038,0.12525219
2013-12-11,-0.0824247,0.68714345,-0.638684,0.4566507
2013-12-12,-1.3922317,-1.087191,-0.7556082,0.096040174
2013-12-13,-0.016282082,-0.07540091,0.71701485,0.44562855
2013-12-16,-0.54626334,0.76774675,-0.04942693,0.57934916
2013-12-18,-0.36991957,-0.66367686,-0.06347277,-0.37179774
2013-12-19,-1.213256,-0.24459243,-1.7586409,-0.28833073
2013-12-20,0.19840132,1.0771961,0.22286747,0.11845591
2013-12-23,-0.42080984,-0.5262697,-0.06788966,-0.03771608
2013-12-24,0.118451625,0.27701774,0.31126103,-0.10297007
2013-12-27,0.17668031,0.8822054,1.2285298,0.3215228
2013-12-30,-0.54393035,-0.8105291,-0.7198005,0.09789087
2013-12-31,0.13139583,-0.80686015,-0.096927546,-0.7672373
2014-01-02,0.79051435,-0.0034588964,0.99564666,0.9828371
2014-01-03,1.1864569,-0.45283788,-0.3346265,-0.5892898
2014-01-06,0.45341906,0.10002867,-0.47628143,-0.39124358
2014-01-07,-0.7290867,-0.07289969,-0.504417,0.07623552
2014-01-08,-0.25081092,-0.87784034,0.24249907,-0.24266945
2014-01-09,0.38326794,-0.7615428,0.13291259,-0.5017768
2014-01-10,0.57191616,1.3083647,0.24504973,0.2743471
2014-01-13,-0.45408118,0.7375255,-0.33867532,1.2791426
2014-01-14,-0.3739579,0.27243155,-0.90747005,0.38306406
2014-01-15,-1.1940311,0.083407976,0.29846892,0.39559382
2014-01-16,0.52393895,0.4050547,-0.63540053,-0.17980991
2014-01-17,-0.098185465,0.13189895,0.8028598,0.13642325
2014-01-21,-0.8805323,-0.26496089,-0.48402283,0.10825796
2014-01-22,-0.54381853,0.022784356,-0.3073416,-0.3022736
